names	scores	pvals	pvals_adj	log2foldchanges
Gja1	64.88011	0.0	0.0	3.628966
Plpp3	69.360954	0.0	0.0	3.4675593
Slc1a3	101.06812	0.0	0.0	3.3201847
Ntsr2	61.23996	0.0	0.0	3.2679534
Htra1	54.5228	0.0	0.0	3.2019253
Bcan	53.855366	0.0	0.0	3.1325817
Atp1a2	104.92877	0.0	0.0	3.11857
Ntm	49.14002	0.0	0.0	3.0821147
Dclk1	61.410286	0.0	0.0	3.0411615
Gpr37l1	55.982662	0.0	0.0	3.0136666
Cspg5	49.31656	0.0	0.0	2.4958806
Mt2	67.86985	0.0	0.0	2.117722
Aldoc	60.89943	0.0	0.0	1.9964278
Ctsd	-41.47924	0.0	0.0	-1.6842818
Tyrobp	-53.808056	0.0	0.0	-2.3529313
Rgs10	-43.49487	0.0	0.0	-2.4191458
C1qb	-58.549343	0.0	0.0	-2.5270233
Lgmn	-45.75831	0.0	0.0	-2.5668685
Fcer1g	-52.830883	0.0	0.0	-2.5759206
C1qa	-57.67835	0.0	0.0	-2.592959
C1qc	-64.30229	0.0	0.0	-2.7848303
Ctss	-53.602005	0.0	0.0	-2.792203
Hexb	-54.292187	0.0	0.0	-2.8622935
Ly6c1	-40.09841	0.0	0.0	-2.9420373
Csf1r	-48.791412	0.0	0.0	-2.9828625
Cldn5	-39.900036	0.0	0.0	-2.9926317
Slc6a6	-39.801773	0.0	0.0	-3.0700684
Tgfbr1	-47.652653	0.0	0.0	-3.0970762
Fcrls	-44.764896	0.0	0.0	-3.124527
Mafb	-42.302193	0.0	0.0	-3.181368
Ssh2	-43.576286	0.0	0.0	-3.2662525
Selplg	-51.679924	0.0	0.0	-3.2979128
Tmem119	-50.09477	0.0	0.0	-3.3255684
Laptm5	-53.380627	0.0	0.0	-3.332513
Cx3cr1	-57.605133	0.0	0.0	-3.3673618
Siglech	-41.62897	0.0	0.0	-3.3889499
P2ry12	-50.62711	0.0	0.0	-3.4068816
Slco1a4	-42.86097	0.0	0.0	-3.409642
Flt1	-41.293533	0.0	0.0	-3.457292
Maf	-42.88998	0.0	0.0	-3.481796
Fcgr3	-52.55162	0.0	0.0	-3.6041317
Gpr34	-49.99927	0.0	0.0	-3.6167016
Ly86	-48.886185	0.0	0.0	-4.0293913
Adap2os	-47.168854	0.0	0.0	-5.0947433
Gria2	44.665188	4.91e-320	1.091114e-318	2.2387476
Ptprz1	45.04986	5.0434e-320	1.096396e-318	2.5298157
F3	45.541092	5.289471062175e-312	1.1254193749308e-310	4.2926226
Trf	-38.7745	6.275637795267181e-305	1.3074245406806627e-303	-3.0120351
Ly6a	-37.83501	1.482634260271835e-295	3.0257842046363977e-294	-3.0027757
