names	scores	pvals	pvals_adj	log2foldchanges
Plp1	185.02621	0.0	0.0	6.091859
Cldn11	79.25704	0.0	0.0	4.9676943
Tubb4a	67.23465	0.0	0.0	4.5133476
Cnp	72.078804	0.0	0.0	4.1782494
Cryab	80.26886	0.0	0.0	3.6336443
Gatm	69.15267	0.0	0.0	3.57605
Tyrobp	-48.16941	0.0	0.0	-2.4400883
C1qb	-50.29634	0.0	0.0	-2.5519745
Fcer1g	-48.51043	0.0	0.0	-2.60811
C1qa	-51.188965	0.0	0.0	-2.613619
C1qc	-55.851795	0.0	0.0	-2.7381105
Hexb	-45.9871	0.0	0.0	-2.900037
Ctss	-48.097393	0.0	0.0	-3.020811
Csf1r	-44.461895	0.0	0.0	-3.1488862
Selplg	-45.219666	0.0	0.0	-3.1892319
Tmem119	-44.32982	0.0	0.0	-3.3341355
Cx3cr1	-52.581005	0.0	0.0	-3.3344834
P2ry12	-44.688572	0.0	0.0	-3.349711
Gpr34	-43.792427	0.0	0.0	-3.4102316
Fcrls	-43.184868	0.0	0.0	-3.4475672
Maf	-42.122505	0.0	0.0	-3.6614702
Mal	60.959633	1e-322	4.49e-321	4.5528216
Ly86	-40.73938	2.2640454231859754e-297	9.843675752982502e-296	-3.893957
Adap2os	-39.36388	2.8313399484844004e-297	1.1797249785351669e-295	-4.432079
Mog	56.036236	1.112254862507569e-293	4.449019450030276e-292	5.280399
Sept4	54.68042	1.5840016898464846e-291	6.092314191717249e-290	3.8002129
Flt1	-38.337612	3.770181425619451e-288	1.3963634909701671e-286	-3.5204785
Fcgr3	-40.68082	5.413369671218351e-286	1.933346311149411e-284	-3.1332364
Tspan2	54.589867	7.5663378086717875e-286	2.6090820029902715e-284	5.165353
Tgfbr1	-40.05938	3.609308177674308e-282	1.2031027258914359e-280	-2.8702915
Cldn5	-38.07627	7.285060088376645e-280	2.3500193833473048e-278	-3.0917993
Igfbp7	-37.181187	4.576005076271213e-274	1.430001586334754e-272	-3.5428557
Laptm5	-40.43715	5.616732679548713e-274	1.702040205923852e-272	-2.9525177
Mag	51.702736	3.689696589164482e-271	1.085204879166024e-269	4.57876
Ermn	51.83519	6.607949129923524e-270	1.887985465692435e-268	5.796762
Kctd13	51.166664	2.2153210309467016e-266	6.153669530407505e-265	5.375706
