names	scores	pvals	pvals_adj	log2foldchanges
Kcna1	-32.325348	6.829629624849461e-221	6.82962962484946e-218	-25.96109
Palmd	-31.33996	3.3182342079386455e-208	1.6591171039693228e-205	-26.060951
Ccl6	-31.036762	2.2718830062011077e-204	7.572943354003692e-202	-25.895525
Rmst	-30.292011	4.3672444335839974e-195	1.0918111083959993e-192	-25.678347
Adamts1	-27.171516	2.393250181910554e-158	4.786500363821108e-156	-25.511724
Zfp691	-27.027529	9.74112807638202e-157	1.6235213460636698e-154	-25.48713
Vcan	-25.975433	3.285875935701762e-145	4.6941084795739455e-143	-25.424692
Slc22a8	-25.789177	3.269877249452648e-143	4.08734656181581e-141	-25.48191
Ocln	-25.763912	6.089000438613118e-143	6.765556042903464e-141	-25.397177
Nostrin	-25.291023	6.224236458498923e-138	6.2242364584989226e-136	-25.393812
Arap3	-22.957146	1.889668525414898e-114	1.7178804776499073e-112	-24.886766
Clic5	-22.68075	8.300832843706e-112	6.917360703088333e-110	-25.036057
Foxc1	-21.987442	2.6173959045070083e-105	2.013381465005391e-103	-24.854656
Irf7	-21.769823	2.6252648960621815e-103	1.8751892114729867e-101	-24.901016
Foxf2	-21.464718	1.562895827305258e-100	1.0419305515368386e-98	-24.759964
Cdkn1c	-20.77803	2.0205654610849563e-94	1.2628534131780976e-92	-24.6456
Adm	-20.731083	5.206560605062757e-94	3.0626827088604454e-92	-24.83098
Robo4	-20.003218	9.512674279463046e-88	5.284819044146137e-86	-24.701038
Tns2	-19.392551	1.1744248494896616e-82	6.18118341836664e-81	-24.446358
Clec14a	-19.330074	3.822610114422772e-82	1.911305057211386e-80	-24.556574
Sptbn4	-18.744078	2.059846875720366e-77	9.808794646287457e-76	-24.405657
Hist4h4	-18.473234	2.8459508296130407e-75	1.2936140134604731e-73	-24.403698
Eml5	-17.92253	5.192763159654982e-71	2.2577231128934705e-69	-24.17546
Cx3cr1	-25.185648	2.6474942991044933e-69	1.1031226246268722e-67	-3.772341
Ercc2	-17.618643	1.0338395611865582e-68	4.1353582447462323e-67	-24.003935
Nr2f2	-17.473677	1.253305333034109e-67	4.820405127054266e-66	-24.324532
Rassf9	-17.424809	2.8934490122067965e-67	1.0716477822988135e-65	-24.227951
Scgb3a1	-17.396841	4.665983314319736e-67	1.6664226122570486e-65	-25.069899
Thsd1	-17.303799	2.275327120006954e-66	7.845955586230875e-65	-24.156935
Sox18	-17.249146	5.74909283859299e-66	1.9163642795309966e-64	-24.186047
Galnt15	-17.205397	1.2049353220548459e-65	3.886888135660793e-64	-24.198324
