names	scores	pvals	pvals_adj	log2foldchanges
Zfp804a	-52.178364	0.0	0.0	-25.310051
Nell1	-49.341553	0.0	0.0	-25.16312
Nkain3	-46.530613	0.0	0.0	-24.947008
Gpr183	-39.753204	0.0	0.0	-24.43216
Lrtm1	-42.37687	0.0	0.0	-24.060015
Arhgap22	-37.349796	2.2042617529288883e-302	9.653701107717758e-302	-23.963516
Trpc5	-37.03771	1.9579950965465773e-297	8.427525523155999e-297	-23.772928
Chrm2	-34.618763	1.956797311071368e-260	7.535804792315924e-260	-23.727942
Gpr65	-27.17921	7.721602182084691e-162	2.1213192807924976e-161	-23.256454
Col26a1	-31.034786	4.6620367158706754e-210	1.5120119078499488e-209	-23.206844
Lrmp	-26.85913	4.078856216824932e-158	1.1043834522089167e-157	-23.160574
Ndst4	-25.594046	7.990453876268316e-144	2.0331943705517343e-143	-23.150406
Scd3	-29.173346	5.311019822556432e-186	1.5981002475094582e-185	-23.014578
Vipr1	-29.01336	5.311148518737727e-184	1.5854174682799186e-183	-22.914818
Cbr2	-22.790838	1.4573664231594798e-114	3.307185529106233e-114	-22.839748
Osm	-23.89027	1.2119401206343057e-125	2.874166293994401e-125	-22.80253
Cd79b	-19.568354	4.822591452015156e-85	9.462246145222672e-85	-22.657814
Glrp1	-21.643745	1.5050658969049672e-103	3.262426077106143e-103	-22.644716
Gpr149	-23.063406	2.9132516778912323e-117	6.666479812108083e-117	-22.520683
Nkx2-2os	-21.805384	4.564274867726449e-105	9.936737738156276e-105	-22.48953
Pdzph1	-20.303005	2.1989253538026234e-91	4.4784630423678684e-91	-22.436537
Tnfrsf17	-17.941257	8.093276757011912e-72	1.4840972048310353e-71	-22.168226
Tnc	-16.74968	7.516577469507284e-63	1.3171572668529119e-62	-21.843245
Mcemp1	-15.228496	2.7672605088872055e-52	4.604426803472888e-52	-21.762619
Nlrp1b	-15.0522	4.004331759466159e-51	6.6187301809358e-51	-21.55168
