names	scores	pvals	pvals_adj	log2foldchanges
P2ry13	-47.56666	0.0	0.0	-25.086218
Ctla2b	-47.691776	0.0	0.0	-24.637194
Sall3	-35.216385	1.8798659592249296e-269	4.861722308340335e-268	-23.931118
Col19a1	-34.553482	1.4579902485850434e-259	3.33890896622529e-258	-23.68249
Tmem63c	-41.713676	0.0	0.0	-23.458235
Lrmp	-26.853207	4.413840387452261e-158	4.299195182583371e-157	-23.095991
Fgd3	-27.550863	2.972355959542584e-166	3.096204124523525e-165	-22.871704
Sash3	-24.038607	3.367430019740789e-127	2.4110477468311138e-126	-22.85133
Vipr1	-29.005892	5.913208546703394e-184	7.300257465065918e-183	-22.85028
Abcc8	-30.096956	8.2377035112614e-198	1.1233232060811e-196	-22.841858
Wdfy4	-23.04241	4.516210154604422e-117	2.919963462028721e-116	-22.690626
Cdh23	-21.241417	7.847116373030945e-100	4.272477154100333e-99	-22.619942
Glrp1	-21.640646	1.5560475725796176e-103	8.824466385139608e-103	-22.580221
H2-Oa	-18.800093	1.148352539742495e-78	5.051404133764641e-78	-22.263807
Tlr1	-19.176592	9.156167126489838e-82	4.161894148404472e-81	-22.222706
Ttpa	-19.423656	7.864257338795659e-84	3.646487174093814e-83	-22.196236
Tbx4	-19.749573	1.3501167098121345e-86	6.449602116936948e-86	-22.158361
Cd36	-17.36204	2.1732435484504564e-67	8.51139770933599e-67	-22.132055
Cd244	-18.592163	5.5623835324628096e-77	2.4149277275525945e-76	-22.1125
Fcrl1	-17.96469	5.233238403666602e-72	2.1684689517955533e-71	-22.065174
Cyp2e1	-16.800947	3.143115299024773e-63	1.1860812449150087e-62	-22.054306
Chil3	-12.081691	1.419000816802026e-33	3.553424416031785e-33	-21.951338
Rxfp1	-19.770866	8.8741582191972e-87	4.2527914788484984e-86	-21.899258
Clec4a1	-16.724434	1.1330130457963068e-62	4.24349455354422e-62	-21.750418
Gp9	-16.167383	1.0790263280723711e-58	3.851993301048426e-58	-21.704447
