names	scores	pvals	pvals_adj	log2foldchanges
Cntn5	-63.900784	0.0	0.0	-26.584461
Gabrg3	-67.3132	0.0	0.0	-26.50374
Epha6	-62.30232	0.0	0.0	-26.269217
Cdh18	-57.83399	0.0	0.0	-26.040035
Cntnap5a	-60.137924	0.0	0.0	-26.026419
Fam19a1	-54.927536	0.0	0.0	-25.93943
Grm8	-53.42517	0.0	0.0	-25.513945
Esrrg	-57.91727	0.0	0.0	-25.320042
Nxph1	-44.339706	0.0	0.0	-25.319925
Svop	-60.62073	0.0	0.0	-25.129425
Gpr160	-48.033394	0.0	0.0	-24.744705
Il1rapl2	-35.74033	2.253147264718311e-277	1.0447359805494485e-276	-24.73797
Colgalt2	-45.350952	0.0	0.0	-24.668259
Kcnh5	-45.062183	0.0	0.0	-24.411777
Tnf	-33.29778	2.6095641506595213e-241	1.0783322936609592e-240	-24.389923
Mlip	-46.595016	0.0	0.0	-24.370033
Kctd8	-41.0548	0.0	0.0	-24.334038
Cdh9	-41.484016	0.0	0.0	-24.116411
Lrtm1	-42.358753	0.0	0.0	-24.00982
Slc9a7	-46.91997	0.0	0.0	-23.99007
Tlr7	-34.89492	1.3004812652168881e-264	5.849241072939527e-264	-23.97359
Hs3st2	-37.092842	2.1127336879025472e-298	1.0670372161123975e-297	-23.783419
Tecrl	-33.292915	3.0612850616551156e-241	1.2632538081107768e-240	-23.741655
Bcl2a1a	-30.88123	4.586123305290374e-208	1.692296422616374e-207	-23.705416
Mlxipl	-29.37478	1.4247767201675919e-188	4.896139931847395e-188	-23.501036
Pou6f2	-33.964115	6.653370606328567e-251	2.880247015726652e-250	-23.42301
Lilrb4a	-26.919312	7.708764399423949e-159	2.3622362817438047e-158	-23.408527
Cemip	-28.743225	1.1041181354424414e-180	3.680393784808138e-180	-23.38919
Vwc2	-32.2689	7.379101043321441e-227	2.9013503446873294e-226	-23.307232
Acvr1c	-31.805504	1.7102562947449919e-220	6.577908825942276e-220	-23.22762
