names	scores	pvals	pvals_adj	log2foldchanges
Slc35f4	-57.13477	0.0	0.0	-25.222286
Kcnh5	-45.060776	0.0	0.0	-24.408472
Mlip	-46.593464	0.0	0.0	-24.36673
Lrtm1	-42.357586	0.0	0.0	-24.006527
Clec5a	-33.913723	3.553411023512895e-250	6.345376827701598e-249	-23.988567
Pla2g3	-41.16026	0.0	0.0	-23.874388
Capn3	-30.99665	1.3361784516420858e-209	1.9364905096262112e-208	-23.619707
Actn2	-35.163548	1.2195112095366064e-268	2.4069300188222495e-267	-23.51996
Tmem63c	-41.7175	0.0	0.0	-23.469553
Pou6f2	-33.963512	6.720898496932994e-251	1.2146202102890954e-249	-23.419724
Vwc2	-32.268383	7.440117997924368e-227	1.174755473356479e-225	-23.303947
Radil	-36.901283	2.2014766011109703e-295	5.2416109550261196e-294	-23.260525
Nr6a1os	-33.488937	4.776494298785604e-244	8.331094707184193e-243	-23.206114
Retnlg	-14.387866	7.1383960762052915e-47	2.3741893823299193e-46	-23.066807
Slpi	-17.949293	6.91622840088993e-72	3.0738792892844133e-71	-22.862556
Vipr1	-29.007174	5.805121204316429e-184	7.022324037479552e-183	-22.861578
Col13a1	-22.563452	2.3824621554528165e-112	1.5470533476966341e-111	-22.847326
Ccr1	-21.656775	1.1054195904323845e-103	6.686005587292649e-103	-22.635725
Themis2	-22.929178	6.059155919151537e-116	4.150106793939409e-115	-22.627687
Adamtsl3	-23.106485	1.0453878694751595e-117	7.276481690082316e-117	-22.619467
Tmem132c	-24.915125	1.87597728527455e-136	1.5589838935799587e-135	-22.606535
Glrp1	-21.64118	1.5471664837386067e-103	9.33903310103787e-103	-22.59151
Cpxm1	-22.464495	2.1872286846819314e-111	1.4020696696679048e-110	-22.512358
Rab39	-20.929491	5.529403627968748e-97	3.1417066068004253e-96	-22.498262
Gpr149	-23.060299	3.0187327764124487e-117	2.091500768876985e-116	-22.467491
Cd300lf	-21.323133	1.3954090619011744e-100	8.22441490315034e-100	-22.451239
Ms4a4b	-14.859027	7.180193415685945e-50	2.4759287640296363e-49	-22.441635
Ptprcap	-17.763712	1.8937830408110576e-70	8.245789727769482e-70	-22.416733
Siglece	-20.567415	9.86030839533855e-94	5.378350033821028e-93	-22.395672
Skap1	-21.136393	7.2404158297958755e-99	4.209544087090626e-98	-22.357327
Tnni2	-20.317558	1.602893226285539e-91	8.526027799391165e-91	-22.352701
Liph	-20.223845	1.0649476405558098e-90	5.624723453639841e-90	-22.318295
H2-Oa	-18.800442	1.144616248553555e-78	5.450553564540738e-78	-22.27509
Npas4	-20.922438	6.405256443768817e-97	3.632470573025794e-96	-22.268303
Cd3d	-14.485732	1.7330638616027297e-47	5.802669179473425e-47	-22.158003
Tnfrsf17	-17.939798	8.19932902120364e-72	3.638755482782681e-71	-22.115068
Ccr2	-15.708825	1.6193593959650552e-55	5.9681550219842334e-55	-22.093372
Dkkl1	-18.196918	7.923794627395616e-74	3.574644192810052e-73	-22.093056
Fcrl1	-17.964993	5.21904220508134e-72	2.329929555839884e-71	-22.076452
Ifitm6	-14.63669	1.9163122180981195e-48	6.488641822002662e-48	-21.934286
Amn	-17.59064	4.0237931973331696e-69	1.7294240103151159e-68	-21.926336
Cartpt	-17.255674	1.371223113333221e-66	5.745348240222993e-66	-21.877926
Slfn1	-14.76677	2.82195725628174e-49	9.642222971349908e-49	-21.630621
Slc22a6	-14.007158	1.607366887593099e-44	5.173927749763194e-44	-21.61028
Ms4a4c	-15.043132	4.5607309598050144e-51	1.5872613549205386e-50	-21.526604
Ucp3	-14.16745	1.671830150152952e-45	5.451620054846583e-45	-21.380222
Sstr3	-15.46346	7.439126739267844e-54	2.688840990096811e-53	-21.367567
Npy5r	-18.820152	7.90589963164424e-79	3.788769791522799e-78	-21.35931
Cd8b1	-10.847176	2.1571776057324866e-27	5.317611189151569e-27	-21.351288
Klrd1	-12.197467	3.459234407160171e-34	9.582366778837039e-34	-21.340607
Fzd10	-14.459112	2.5494495540835745e-47	8.52658713740326e-47	-21.30626
Myo18b	-14.166915	1.6845870279104316e-45	5.487254162574696e-45	-21.297243
Ngp	-8.51586	1.684112864730017e-17	3.411437268190447e-17	-21.282259
Asprv1	-11.800299	4.1568783162092007e-32	1.1114647904302675e-31	-21.263443
Cd28	-12.420739	2.1882563074172905e-35	6.175699832786332e-35	-21.25116
Avp	-13.996531	1.8659210646501755e-44	5.999746188585773e-44	-21.224255
Gpr165	-13.361524	1.1315059598715723e-40	3.4567391849437038e-40	-21.199537
Adcyap1	-13.874811	1.0218224489525668e-43	3.25766986913677e-43	-21.171608
Mmp12	-10.277827	9.21840550416115e-25	2.153833061719895e-24	-21.159765
Cd7	-11.72198	1.0492993551627067e-31	2.780828679759823e-31	-21.071693
Prox2os	-13.804121	2.7248440520572294e-43	8.659462029842891e-43	-21.030462
Klra2	-12.64603	1.284420236788516e-36	3.694401448097361e-36	-20.846693
Klrk1	-10.251628	1.2088454897287653e-24	2.8200128065212256e-24	-20.770466
Hs3st3a1	-12.4440775	1.6351084525872606e-35	4.632035276451164e-35	-20.692202
Myom3	-10.869988	1.681046381876072e-27	4.15415086130825e-27	-20.640203
Crh	-10.024013	1.237874116300793e-23	2.817619384599681e-23	-20.54579
Cd6	-10.473666	1.1896675636062498e-25	2.8325418181101186e-25	-20.468435
Clec2i	-10.770065	4.992553732737396e-27	1.2226662202622194e-26	-20.432411
Cnr2	-10.08118	6.934563849743693e-24	1.586856716188488e-23	-20.370857
Cldn22	-12.651346	1.200581149909032e-36	3.456567610102779e-36	-20.31424
Rbm46	-10.437578	1.739890848197012e-25	4.1262233554079334e-25	-20.273739
Ms4a4a	-10.180872	2.5050115235005696e-24	5.785246012703394e-24	-20.254389
Qprt	-10.299822	7.338473584809515e-25	1.7186120807516427e-24	-20.1678
Il1rl1	-9.169797	4.8566139438362204e-20	1.0325897825307343e-19	-20.135145
Hpse	-9.784817	1.3504164316092563e-22	3.0165668613758517e-22	-20.039082
Prss27	-9.921333	3.476727581163276e-23	7.854053270700172e-23	-20.01471
Trh	-7.791627	6.7009799002249534e-15	1.288649980812491e-14	-19.953144
Calca	-7.3066955	2.765458208101554e-13	5.105461307264408e-13	-19.90798
Fcer2a	-8.682386	3.9527914897459435e-18	8.111063248452689e-18	-19.828497
Mylk3	-9.448405	3.5364931627461295e-21	7.688028614665499e-21	-19.796087
Klre1	-6.962633	3.3674858999120243e-12	6.0530004192546874e-12	-19.763298
Cdh18	-57.70282	0.0	0.0	-10.187371
Cpne4	-40.993984	0.0	0.0	-8.729315
Il21r	-34.668022	2.8004667914950293e-261	5.2508752340531795e-260	-8.267801
Mgat4c	-62.17647	0.0	0.0	-8.239615
Tmem132d	-54.60889	0.0	0.0	-8.134258
Cacna2d3	-65.369415	0.0	0.0	-8.078918
Trpc5	-36.403202	1.217452733995895e-287	2.665954891961814e-286	-7.8701334
Nkain3	-45.11275	0.0	0.0	-7.692865
Kcnh7	-69.72281	0.0	0.0	-7.612032
Kcnq5	-66.56036	0.0	0.0	-7.608093
Osm	-23.5299	5.569932971947731e-122	4.075560711181267e-121	-7.4574265
Ptafr	-42.321823	0.0	0.0	-7.3711867
Bdnf	-26.235516	5.113686022698671e-151	4.809109112255803e-150	-7.1139812
Cbr2	-22.234606	3.5950255396040657e-109	2.275332620002573e-108	-6.9694357
Col19a1	-32.695827	1.7949557751612472e-232	2.991592958602079e-231	-6.806013
Tifab	-32.141308	8.258596500050075e-225	1.2904057031328242e-223	-6.8006196
Tmem163	-58.387024	0.0	0.0	-6.7543054
Lingo2	-62.530315	0.0	0.0	-6.7449803
Prmt8	-46.27269	0.0	0.0	-6.7310014
Clec4a2	-32.420662	1.7556108686967585e-228	2.8164880246472065e-227	-6.69067
Fstl4	-51.528202	0.0	0.0	-6.6882463
Sntg1	-66.020325	0.0	0.0	-6.6432867
Pdzrn4	-49.855343	0.0	0.0	-6.612495
Sgcz	-60.384014	0.0	0.0	-6.5654087
St6galnac5	-53.058834	0.0	0.0	-6.560711
Thsd4	-45.466824	0.0	0.0	-6.501194
Epha6	-48.38386	0.0	0.0	-6.3661346
Plcl2	-64.55509	0.0	0.0	-6.348926
Col26a1	-29.527523	2.139989161240681e-190	2.6528791255049764e-189	-6.320007
Nxph1	-41.473072	0.0	0.0	-6.2923374
Cercam	-32.35004	1.3903953169966143e-227	2.2187159313775764e-226	-6.2724085
Fam46a	-50.80036	0.0	0.0	-6.2506566
Lrrtm4	-66.42654	0.0	0.0	-6.2150717
Tnfrsf13b	-32.524677	2.5715642389914347e-229	4.170104171337462e-228	-6.2129817
Susd3	-37.77611	2.3831093510078763e-308	6.163213838813473e-307	-6.2030644
Kcnd2	-70.63948	0.0	0.0	-6.193995
C1qtnf7	-42.613472	0.0	0.0	-6.156624
P2ry13	-38.61201	1.09005059972716e-309	2.8436102601578026e-308	-6.135805
Sall3	-30.873962	9.025852201130981e-206	1.295576870975739e-204	-6.1127524
Ntng1	-36.207855	1.8714573446008465e-275	3.8719807129672685e-274	-6.086519
Nrg3	-65.76554	0.0	0.0	-6.03904
Cntnap5a	-47.672604	0.0	0.0	-5.9953356
Il1rapl1	-66.702385	0.0	0.0	-5.968978
Kcnt2	-49.446022	0.0	0.0	-5.9611335
Cntn5	-52.78748	0.0	0.0	-5.951055
Cntnap2	-64.870995	0.0	0.0	-5.9482393
Alox5	-14.983511	1.129898217424855e-50	3.9187221413578786e-50	-5.9356847
Grm8	-40.23078	0.0	0.0	-5.9249773
Cd33	-46.642838	0.0	0.0	-5.922021
Chrdl1	-24.214485	1.6406505635312235e-128	1.2817582527587683e-127	-5.91766
Adarb2	-38.556007	0.0	0.0	-5.915633
Col4a6	-21.49824	5.086139513963242e-102	3.045592523331283e-101	-5.9137936
Gpr26	-29.947325	5.515735675848279e-195	7.101805591220961e-194	-5.910516
Cd37	-42.27203	0.0	0.0	-5.8980956
Ptpn22	-21.344765	9.465806353085873e-101	5.601068847979806e-100	-5.88709
Tagap	-28.244158	3.8891952710405106e-172	4.2582429974896105e-171	-5.8388433
Ptpn6	-37.80297	3.4044058299414666e-305	8.511014574853666e-304	-5.8136115
Stxbp5l	-61.72367	0.0	0.0	-5.8001633
Gabrg3	-53.824837	0.0	0.0	-5.7950134
Arhgap15	-38.013798	2.6679606891325203e-305	6.725951317140807e-304	-5.794767
Tenm2	-63.107914	0.0	0.0	-5.7776623
Robo2	-55.92591	0.0	0.0	-5.7577987
Rarb	-38.12205	4.152626668905557e-306	1.0557525429420909e-304	-5.7474217
Sema3e	-38.18119	0.0	0.0	-5.7469177
Nkx2-2os	-19.792343	8.446431688220184e-87	4.2658745900101936e-86	-5.738859
AB124611	-22.801497	4.045400140850505e-114	2.685000093484849e-113	-5.729782
Aff3	-56.140656	0.0	0.0	-5.7274723
Tbxas1	-30.990269	9.751625057802527e-205	1.3864869750430133e-203	-5.7111096
Adgrb3	-67.73693	0.0	0.0	-5.7065034
Csmd1	-61.202156	0.0	0.0	-5.685643
Unc5d	-44.767906	0.0	0.0	-5.6444325
Cacnb2	-63.002995	0.0	0.0	-5.641807
Coro6	-28.002842	1.081396171682511e-170	1.1754306213940337e-169	-5.632817
Htr1f	-34.910706	3.3176069827308557e-249	5.889243164610986e-248	-5.6250153
Plekha6	-48.067986	0.0	0.0	-5.610537
Scd3	-26.115768	5.2813117740207385e-149	4.875057022172989e-148	-5.6084046
Pcdh15	-52.98702	0.0	0.0	-5.5694704
Palm2	-43.22543	0.0	0.0	-5.5647464
Reln	-29.999472	2.951240765150238e-194	3.7836420066028693e-193	-5.5590725
Fam180a	-12.015278	3.1933190794528234e-33	8.677497498513107e-33	-5.5546107
Myl2	-17.878857	3.366620280832118e-71	1.4809180120962396e-70	-5.515775
Lhfpl3	-51.341225	0.0	0.0	-5.5021014
Fam19a1	-38.492867	7.455297089148765e-292	1.70731994407987e-290	-5.492703
Cdh8	-45.132538	0.0	0.0	-5.4776807
Il7r	-19.627989	3.403327602027236e-85	1.701663801013618e-84	-5.469595
Bank1	-21.115583	5.3387108879554364e-98	3.0623580619247246e-97	-5.465764
Cntnap4	-32.18533	2.688485395417611e-221	4.178992842618048e-220	-5.4356575
Asic2	-58.45348	0.0	0.0	-5.408884
Srrm4	-43.173836	0.0	0.0	-5.3866787
Adap2os	-41.32832	0.0	0.0	-5.385338
Grip1	-40.54914	0.0	0.0	-5.375246
Cd84	-41.205284	0.0	0.0	-5.364351
Grm7	-60.561028	0.0	0.0	-5.3458924
Kcnip4	-58.23987	0.0	0.0	-5.335668
Trhde	-37.372234	2.4772634624476454e-289	5.505029916550323e-288	-5.334503
Sash3	-20.111671	4.82969639831902e-89	2.4938191385468265e-88	-5.334392
Slc38a11	-59.48867	0.0	0.0	-5.3238473
Neto1	-39.832436	3.337630435594899e-304	8.275116782466692e-303	-5.316273
Dpp10	-56.848682	0.0	0.0	-5.302498
Kctd8	-31.01332	4.763796561568542e-201	6.351728748758057e-200	-5.297443
Cdh12	-31.443472	1.4074238271557542e-193	1.781549148298423e-192	-5.2939672
Rfx4	-29.294558	1.3118973662100089e-180	1.561782578821439e-179	-5.284821
Grik1	-27.511692	3.770962831965361e-163	3.9417729950857436e-162	-5.2582145
Sv2c	-27.813505	2.417263639550646e-161	2.492024370670769e-160	-5.1993146
