names	scores	pvals	pvals_adj	log2foldchanges
Lhfpl3	67.611046	1.0527916535060994e-250	1.6697275624606737e-247	4.080555
Erbb4	60.419815	1.893586993214102e-237	1.5016144856187827e-234	2.9993494
Sox6	47.46284	2.131446668980222e-185	1.126824805667544e-182	3.5470905
Ptprz1	44.42249	3.4325546639261407e-174	1.3610079242467149e-171	3.352826
Luzp2	42.509968	4.261596655665e-168	1.351778459176938e-165	2.7912912
Adam33	-28.22612	1.893974463031267e-159	5.006405830612649e-157	-5.668084
Opalin	-26.839138	3.093220848772046e-156	7.008354665932092e-154	-25.262861
Npas3	35.32532	2.80959436530225e-138	4.951129625965964e-136	2.3184662
Nxph1	35.222588	2.6184250750689063e-135	4.152822169059285e-133	3.8217056
Maml2	32.766853	1.8084605779035064e-126	2.6074713423226917e-124	2.2471511
Slc47a2	-24.058617	2.5864282838639453e-126	3.4183960485068478e-124	-24.713076
Syk	-23.961082	2.5482931535110175e-125	3.108917647283441e-123	-24.796291
Hapln2	-23.583675	1.6395467023533435e-121	1.857372192808859e-119	-24.837875
Grid2	31.336716	7.1621335927040066e-121	7.57276258535237e-119	1.5565312
Adarb2	31.6063	1.5626790110318444e-119	1.5490055696853158e-117	3.5728347
Sox2ot	31.040592	2.1849427062378387e-117	2.03842301887836e-115	2.94328
Etnppl	-23.092934	1.2051894483247853e-116	1.0619058139128385e-114	-24.643028
Tbx18	-24.517817	6.122542744205682e-115	5.1107119959527433e-113	-5.191023
Chrm3	-29.474485	3.833865699324989e-114	3.0402554995647167e-112	-2.7468052
Gpc5	29.674574	1.3495756229218232e-111	1.0192509228352436e-109	2.5818408
Vcan	29.800747	8.904931685169614e-111	6.419646205763185e-109	5.339865
Brinp3	29.309696	1.7927887670652703e-110	1.2362447758980518e-108	1.9456114
Nckap5	28.642921	2.0181811772753302e-106	1.3336813946494473e-104	2.7074616
Ptprt	27.956766	2.8604040355308554e-104	1.8146403201407746e-102	1.7002958
Dpyd	28.02355	4.013406639261364e-103	2.448178049949432e-101	3.3157501
Qk	27.0963	8.84091612747816e-101	5.193219621548282e-99	1.5445728
Cyyr1	-22.215647	1.7284313282411823e-96	9.79032888068041e-95	-4.6455836
Sgcd	26.372087	7.667002829649295e-96	4.193057409594408e-94	2.3058991
Slc24a2	-25.760492	1.7536461094324427e-94	9.270942431866181e-93	-2.2558017
Pcdh15	26.03319	2.4028329104574297e-94	1.2293203212856399e-92	2.1502657
Cdh12	-24.42804	3.872300442953451e-89	1.919208907038804e-87	-2.5114925
Cacng4	23.59792	4.910622233705478e-82	2.3600748068657236e-80	4.7267118
Nr2f2	-20.854038	3.8573450070445325e-81	1.7993379944625378e-79	-4.3098865
Itpr2	23.070612	7.329653209199373e-80	3.321379997082916e-78	2.8401124
Tfap2b	-19.303305	1.6616443574506928e-79	7.320466530324441e-78	-5.136716
Zbtb20	22.574778	3.6031400179952115e-79	1.544481099605515e-77	1.1163317
Lrrtm4	22.065928	3.288919002075682e-76	1.372690930866324e-74	1.1396861
Grm3	-21.575502	4.6734954874739245e-74	1.9005548315727294e-72	-2.0274286
Cntnap5a	-21.287708	8.586064383235738e-74	3.40437452795297e-72	-2.4974518
Unc5d	-21.309822	1.7134597816312695e-73	6.628163935773642e-72	-2.3037949
Arhgap31	21.550446	1.0836301797920822e-72	4.091993964643434e-71	2.4873598
Sh3d19	21.316872	1.5504918035760758e-71	5.718790698771293e-70	2.4808984
Ms4a7	-17.703503	1.1589998851251031e-69	4.177667767746394e-68	-23.980524
Ncam2	20.515594	2.3126079772557274e-68	8.150658337616853e-67	1.1857306
Fcrls	-17.36679	4.0011322885375235e-67	1.3501693211958537e-65	-23.948046
Rai14	-19.344433	3.0185386967302767e-65	9.973754943779622e-64	-2.885567
Abcb1a	-18.817556	1.6027116996869757e-64	5.187552562660292e-63	-3.498709
Grin3a	19.689842	1.367093963544241e-63	4.336422052362333e-62	3.645333
Pdzrn3	-19.270687	4.859642693408666e-63	1.5112535905384597e-61	-2.1551962
Sema6d	19.359484	2.0155918559446273e-62	6.147555160631113e-61	1.5973331
Megf6	-16.71801	2.288767793292671e-62	6.849029660683352e-61	-23.65966
Spock3	-18.99049	2.4231214979660227e-62	7.116797584766874e-61	-2.3911874
Gjc3	19.18628	3.16396413152296e-61	9.123722022900755e-60	3.7243583
Cntnap5c	-18.0488	4.9691650174293875e-61	1.40733852100768e-59	-4.0654473
Epha6	-18.790195	5.129831117112244e-61	1.4273530090771964e-59	-2.1979368
Fzd7	-16.503973	7.773492367737354e-61	2.1256480853847316e-59	-23.493906
Il1rl2	-16.425524	2.798916182624371e-60	7.5238662129529695e-59	-23.573708
Sema3d	18.95244	4.3042872120064036e-60	1.1377665863736926e-58	3.864276
C1qtnf7	-17.671255	1.2475566598580767e-59	3.243647315630999e-58	-4.01868
Cdh8	-18.402184	2.4402322964383933e-59	6.2422716486311155e-58	-2.5093262
Unc5c	18.593056	6.584791073096858e-59	1.6576950225288278e-57	1.2956872
Pdgfra	18.64925	1.201201554208352e-58	2.9767276015225723e-57	4.2581005
Aspa	-17.777912	5.2484794382708374e-58	1.2806289829380844e-56	-3.1258874
Dscaml1	18.229525	6.127664089147367e-57	1.4724962493011704e-55	1.877116
Cntn5	-17.92966	3.042855410233122e-56	7.202938329298107e-55	-1.8210568
Lama2	-17.722115	4.570256774749672e-56	1.0659451830519087e-54	-2.1855068
Srgap1	18.005173	8.11011780451638e-56	1.8641517156468084e-54	2.2188106
Cdh13	17.695173	2.3030174919836615e-54	5.217979631837267e-53	2.1676562
Ccm2l	-15.512265	5.427175171074708e-54	1.2123239184964066e-52	-23.470371
Slc22a8	-16.39283	6.5484576383826e-54	1.4424796964548337e-52	-3.9509761
Shc4	17.613836	8.845069736905895e-54	1.921682274346952e-52	5.7551947
Abtb2	17.571299	1.1990272983119456e-53	2.5698071555712783e-52	3.5306344
Col5a2	-16.571512	5.000404936453013e-52	1.0574189638952638e-50	-3.0607615
Emid1	17.179867	8.76165542975661e-52	1.8284191462623664e-50	4.8798084
P2ry6	-15.128046	1.885736932061423e-51	3.884128278245996e-50	-23.482788
Zic4	-16.323002	8.307244184986437e-51	1.6891396509472421e-49	-3.2800655
Trabd2b	-16.461409	1.698137106723972e-50	3.4091714572964806e-49	-2.6988864
Slc6a13	-15.480953	4.676492961965737e-50	9.271147297097073e-49	-4.441578
Edn3	-14.872009	8.596383653912766e-50	1.6831931450747712e-48	-23.292324
St6galnac5	-16.215498	1.291040401963463e-48	2.497061070139088e-47	-2.3003294
Adcy4	-14.632349	2.898094005769231e-48	5.537803726686748e-47	-23.308023
Matn4	16.40347	2.9467106541564623e-48	5.56367035415732e-47	3.7025137
She	-14.587262	5.582638769452587e-48	1.0416547162766827e-46	-23.32735
Mgp	-15.797334	1.8574812312179366e-47	3.386166934151319e-46	-2.5698116
Fmo2	-14.266272	5.613065681657278e-46	1.0116275194441411e-44	-23.264002
Bcas1	15.810583	1.2778165599990627e-45	2.277097824897206e-44	2.678078
Sp100	-15.15553	3.1966218487483386e-45	5.586239181203161e-44	-3.0976102
Sox10	15.738028	3.2052192023296826e-45	5.586239181203161e-44	4.234573
Musk	-14.001642	2.330158430597353e-44	4.016990511877611e-43	-23.055376
Cped1	-15.257147	2.8983028550374825e-44	4.9426971269779004e-43	-2.0742495
Itgb2	-13.983322	3.008297709117269e-44	5.075702304957435e-43	-23.229214
Prkg1	15.449977	3.064703460847454e-44	5.116441777793749e-43	1.0672283
Slc26a7	-14.6323	3.253388337020363e-44	5.3748686484523915e-43	-4.257358
Cdh20	15.440424	5.037601067024521e-44	8.236737414743185e-43	1.8763937
Lingo2	-15.300218	1.0131108201623758e-43	1.639585470181151e-42	-1.4308187
Ranbp3l	-15.031535	1.1492272516159117e-43	1.8410852738008446e-42	-2.604147
Crispld1	-14.809744	4.58889809079854e-43	7.277992372006484e-42	-3.1494029
Notch3	-14.537264	5.397067648925809e-43	8.474999298214191e-42	-3.8665555
Zfpm2	15.179335	6.5111370227961916e-43	1.0124179723681137e-41	1.4645561
Hs3st4	-15.051411	8.500754395452396e-43	1.3089511137075242e-41	-1.8328301
Nid1	-14.383333	1.7022798017190513e-42	2.595976697621553e-41	-3.8391206
Kitl	-14.771099	2.6866902382030803e-42	4.058181635990558e-41	-2.7425911
Kank1	15.052079	3.536919016655739e-42	5.292031660769814e-41	3.062779
Dlx6os1	-14.427462	4.298925092454303e-42	6.372051585637874e-41	-3.4234867
Kcnh8	14.9873905	7.806951043974077e-42	1.1464652181243412e-40	6.5402665
Nell1	-14.756656	1.4340306295222984e-41	2.086580347176482e-40	-2.1256852
Flt4	-13.525831	1.594929458229648e-41	2.2995982915929288e-40	-23.121696
Tns3	14.835203	2.9292204267839676e-41	4.1853545917832186e-40	2.3311164
Cntn2	-14.397036	8.457947328353639e-41	1.1977057556043634e-39	-2.710166
Hk3	-13.393716	9.399221565170059e-41	1.3192181771999747e-39	-23.086687
Afap1l2	14.730077	9.848538870310312e-41	1.370156372658961e-39	3.5089056
Gcnt1	-13.37632	1.1856978476080024e-40	1.6352319880924276e-39	-23.087633
Unc13c	14.621939	2.6662312557782065e-40	3.6453816997105483e-39	2.4693103
Elf4	-13.954322	3.5558951852300415e-40	4.820213473311834e-39	-3.7577126
D7Ertd443e	-14.230929	3.77849798655288e-40	5.0785574632820906e-39	-2.9856844
Blnk	-14.0120535	6.178310787013423e-40	8.234286477481754e-39	-3.6793542
Col25a1	-14.302931	7.464333708882784e-40	9.865361051906745e-39	-2.2705326
Plce1	14.493979	9.46954035302411e-40	1.2412141322228295e-38	2.2565758
Gbgt1	-13.203796	1.1683898728533313e-39	1.5189068347093306e-38	-22.854792
Lef1	-13.969948	3.252645461021761e-39	4.194061545675214e-38	-3.0728698
Plpp4	14.202675	2.1319811510073524e-38	2.72687266572392e-37	4.8368917
Foxq1	-12.940031	3.650992988649486e-38	4.632379903998468e-37	-23.019043
Heg1	-13.86262	5.927841735855286e-38	7.4615531691003836e-37	-2.4101303
Chd7	14.061795	7.124736541731596e-38	8.89750563400497e-37	2.1266837
Grin2c	-13.621753	1.0968715147452256e-37	1.3590923612390062e-36	-2.9904447
Col8a1	-13.756734	1.1072938256679713e-37	1.3613705484569011e-36	-2.7503867
Trf	-13.605847	5.157330549388773e-37	6.291943270254303e-36	-2.2684226
Stard13	13.833565	6.598068153630042e-37	7.988195489814692e-36	1.8157914
Itgb5	-13.510067	1.2090011078229024e-36	1.4526331492478205e-35	-2.7458985
Clec2d	-13.363532	4.9941339872678704e-36	5.955410905117926e-35	-2.717515
Gfra1	13.640831	5.174222476377381e-36	6.1241170503989e-35	2.7808707
Hs6st3	-13.5617285	5.7120897006027026e-36	6.710647603819175e-35	-1.3552029
Trbc1	-12.495376	1.037184045396118e-35	1.209539629410473e-34	-22.78559
Prdm6	-13.301133	1.3545331825731313e-35	1.5680946186576544e-34	-2.476605
Apold1	-12.455693	1.70117220825173e-35	1.9551153060052494e-34	-22.871588
Serpinb1a	-12.445074	1.9415269554473143e-35	2.215296223985209e-34	-22.888353
Edn1	-12.362133	5.429610286261717e-35	6.150972795722202e-34	-22.851507
Npsr1	-12.280023	1.4930050611532335e-34	1.6793659765879635e-33	-22.719816
Mtus1	-12.994599	4.2880941273706676e-34	4.789378370429492e-33	-2.5116024
Pm20d1	-12.192272	4.368895971591911e-34	4.845502804856483e-33	-22.589046
Cracr2b	-12.1670475	5.94036294480231e-34	6.542649743372543e-33	-22.762197
Fign	13.109878	9.401223890028701e-34	1.0282993854886566e-32	2.9361284
Slc47a1	-12.824746	1.1215193653745492e-33	1.2183080229342705e-32	-2.7709546
Gabrr2	-12.01622	3.682127444490812e-33	3.9726898822873656e-32	-22.821144
Kcnk5	-12.510894	3.8054256662565316e-33	4.0779764234343645e-32	-3.982536
Col12a1	-12.72908	3.8316431024442056e-33	4.0785140674338996e-32	-2.6061428
Hba-a2	-12.002759	4.3285394195891234e-33	4.5767090129788996e-32	-22.85918
Mecom	-12.652324	4.5336528552293876e-33	4.7618367075455683e-32	-2.6606941
Nkain2	-12.891377	6.1616626015638516e-33	6.429208477684388e-32	-1.0926223
Shroom3	-12.625322	7.848372858158623e-33	8.135633564078154e-32	-2.8231459
Sox18	-11.928732	1.0501675215017768e-32	1.0815361617544271e-31	-22.738914
Kcnc2	-12.774872	1.1357045246517296e-32	1.1620821781275118e-31	-1.6231942
Msr1	-11.9107685	1.3011118862462082e-32	1.3227970843503118e-31	-22.779211
Klhdc7a	-11.898642	1.5033296409413767e-32	1.5186501977917346e-31	-22.631727
Cspg4	12.793996	2.100394076679553e-32	2.1083702567175763e-31	4.6624985
Rin3	-12.444997	2.617703607329691e-32	2.6111181894496166e-31	-3.0992563
Prkcq	12.750836	3.0826965842796704e-32	3.055722989167223e-31	3.6648927
Adam12	12.727277	3.223266000957211e-32	3.175217315228656e-31	1.7384886
Cspg5	12.696857	4.5774150426013576e-32	4.481345838003551e-31	1.7607887
Tmem163	12.690848	5.442746482372856e-32	5.295825718431503e-31	3.2858963
Dock5	-12.493364	9.617560195136128e-32	9.300884432613354e-31	-2.045212
Kcnk6	-11.726855	1.1459300801842394e-31	1.1014818831346688e-30	-22.597616
Ust	12.533027	2.1216784971929355e-31	2.0270976485228892e-30	1.7076014
Zfp608	12.438843	5.157549689964145e-31	4.8981280289120566e-30	1.5855478
Tbx15	-12.244639	8.674893968016331e-31	8.18951299599637e-30	-2.246531
Nkain3	12.337517	1.5098641079395645e-30	1.416949393604822e-29	2.6174061
Arhgap24	12.331199	1.5629013034512487e-30	1.458094980749224e-29	2.5333948
Gpc6	12.299631	1.6568505387254145e-30	1.5367046517067294e-29	1.0308238
Batf	-11.459973	2.5397044691998837e-30	2.3418437721808227e-29	-22.508766
Slc7a11	-12.128372	2.9190833912680755e-30	2.676107663902409e-29	-2.099555
Mgat4c	-12.206426	3.027308350157598e-30	2.759374162844799e-29	-1.3448638
Tox3	12.254791	3.310631708898727e-30	3.0003782230362177e-29	2.7881072
Castor1	-11.418545	4.0828361074153466e-30	3.679192083159511e-29	-22.508572
Cdh19	12.122848	1.0638176145508936e-29	9.532286647896708e-29	2.1127362
Slit2	-11.9646	2.574511928914335e-29	2.2939190557629976e-28	-1.6077969
Gimap1	-11.250001	2.7685984911301816e-29	2.453071065325401e-28	-22.638777
Cemip	-11.891218	3.15021990120074e-29	2.7756937573913185e-28	-2.2260995
Ctsh	-11.618982	4.411493159291074e-29	3.865540414715825e-28	-3.4685614
Fbxw15	-11.176146	6.34950515925216e-29	5.533140210205454e-28	-22.792759
Aox3	-11.685934	7.485929971620434e-29	6.487805975404376e-28	-2.8650334
Tafa2	11.810828	1.802865880336574e-28	1.5539920033770688e-27	1.4029174
Kcnmb2	-11.609119	2.6551898489410737e-28	2.264048978720722e-27	-2.6027844
Tox	11.737984	3.580779354083102e-28	3.0369604575271657e-27	1.4626967
Bcan	11.710384	4.8358709605604685e-28	4.079623055026012e-27	1.9892125
Dock1	11.684596	5.299154429639808e-28	4.4468036642374264e-27	1.0119991
Rftn1	-11.525772	7.155099366489428e-28	5.972625050132754e-27	-2.3321657
Mrap	-10.8447	2.466101673818159e-27	2.0477681961652358e-26	-22.199188
Zic1	-11.405974	2.493443673958308e-27	2.0596883681759775e-26	-2.3783526
Ypel2	-11.455582	2.665206838457107e-27	2.1901647905663066e-26	-1.7006742
Galntl6	-11.475321	2.758002990357308e-27	2.2547385271683974e-26	-1.2790343
Enpp1	-11.298403	2.8624593798389643e-27	2.328133628935691e-26	-3.2001376
Mcc	-11.447041	3.154283810012974e-27	2.5523949605513148e-26	-1.620316
Car13	-11.103981	5.049375360305722e-27	4.065131635251206e-26	-3.8448033
Pex5l	-11.412553	5.6618501273477e-27	4.520477617381883e-26	-1.0851786
Sema5a	11.444034	5.671973807433763e-27	4.520477617381883e-26	2.199958
Plppr1	11.433519	6.319538812287485e-27	5.0113942781439757e-26	2.3474178
Lrrk1	-11.281226	9.458260432693449e-27	7.426139131807826e-26	-2.1884391
Frk	-11.12618	9.908157631361585e-27	7.741053203615504e-26	-3.775978
Egfl7	-11.157958	1.0042788520869168e-26	7.807775781420834e-26	-3.1428986
Cobll1	11.377631	1.0117813469216284e-26	7.827732762037574e-26	2.1856434
