names	scores	pvals	pvals_adj	log2foldchanges
Sema3g	-79.279915	0.0	0.0	-27.089863
Slc39a8	-72.14455	0.0	0.0	-26.547413
Ace2	-39.62082	0.0	0.0	-25.238073
Grb7	-37.065742	5.820757641644936e-297	1.7375395945208762e-295	-24.553236
Nfatc4	-35.63426	6.856560644393561e-275	1.7358381378211545e-273	-24.495647
Col1a1	-26.194363	2.734668196748095e-150	2.6421914944426037e-149	-24.391132
Pi16	-28.759277	1.643457463789721e-180	2.067242092817259e-179	-24.340805
Notumos	-33.776638	1.7453676349139745e-247	3.6361825727374465e-246	-24.271168
Hdc	-33.15038	1.4622593283884652e-238	2.867175153702873e-237	-24.269325
Tnfaip2	-30.081007	3.7784684167901615e-197	5.516012287284907e-196	-24.107073
Ighm	-27.330572	2.437929324188257e-163	2.6938445571140966e-162	-24.097034
Ephx3	-28.194904	1.2590532003879454e-173	1.5169315667324642e-172	-23.898256
Grin2a	-28.034122	1.0891662195878612e-171	1.304390682141151e-170	-23.862116
Igfbpl1	-20.684013	1.1324081595461563e-94	6.947289322369056e-94	-23.813011
Cdhr4	-26.813759	2.4521334357671662e-157	2.5543056622574646e-156	-23.812567
H2-Aa	-18.289675	1.6869019026847579e-74	8.498246361132281e-74	-23.775297
Cd300lg	-23.190496	2.1791363334800214e-118	1.620175712624551e-117	-23.750097
Dnah12	-26.286306	2.517064360047811e-151	2.455672546388108e-150	-23.724392
Tiam2	-27.74968	2.7396833716864303e-168	3.1310667104987777e-167	-23.690687
Ctsw	-24.33023	4.780431175571727e-130	4.017169055102291e-129	-23.621593
Fmod	-24.151556	3.4933923882371956e-128	2.86343638380098e-127	-23.612219
Napsa	-25.653841	2.8577848843693974e-144	2.6584045435994393e-143	-23.59432
Fgfbp1	-23.570946	3.2150360238190375e-122	2.4636291370260825e-121	-23.575964
Ly6c2	-20.474648	8.220840322250045e-93	4.952313447138581e-92	-23.514013
Tcap	-26.617819	4.3271424271606405e-155	4.370850936525899e-154	-23.43269
Naip5	-23.607437	1.369374370023819e-122	1.0615305193983091e-121	-23.357517
Hp	-18.033237	1.751468634511789e-72	8.5856305613323e-72	-23.308739
Havcr2	-23.833755	6.686350191047646e-125	5.3066271357521e-124	-23.276234
Nts	-19.711687	3.461606566103367e-86	1.9557099243521848e-85	-23.252449
Dlx1	-20.934935	6.299747752908753e-97	3.937342345567971e-96	-23.244473
Nfam1	-23.94374	4.9450818061441186e-126	3.9879691985033216e-125	-23.243814
Fam167b	-21.664738	1.2311920522223723e-103	8.126680212688926e-103	-23.231052
Cytip	-20.79532	1.1405779662111903e-95	7.084335193858324e-95	-23.213797
Ltb	-18.945122	8.840171982432424e-80	4.6283622944672375e-79	-23.198206
Tlr7	-22.750162	4.970554076330296e-114	3.525215656971842e-113	-23.097794
Rasal3	-21.81961	4.341757865363894e-105	2.884888947085644e-104	-23.060192
Steap4	-20.516874	3.475968562514929e-93	2.1066476136454116e-92	-23.014029
Ssu2	-20.409033	3.1210588267367045e-92	1.8745098058478705e-91	-22.999165
Ptpn22	-19.481997	3.0566657162672514e-84	1.688765589097929e-83	-22.998684
Bcl2a1a	-20.772453	1.8296391146654807e-95	1.132903476573053e-94	-22.968678
Cd3g	-14.4973755	1.548834458654243e-47	5.797000233205051e-47	-22.933691
Ms4a4b	-14.36036	1.1203252194817096e-46	4.1570509071677536e-46	-22.905893
Esm1	-15.780767	5.643625054094351e-56	2.341753134478984e-55	-22.85564
Ccl19	-19.362291	3.094153357445296e-83	1.6954264972302993e-82	-22.836555
Tnfsf8	-19.764019	1.2381834112124003e-86	7.075333778356573e-86	-22.8331
Ptprcap	-16.590696	1.1601102484506411e-61	5.065983617688389e-61	-22.814034
Exoc3l2	-17.512302	1.7919359181789892e-68	8.452527915938628e-68	-22.782288
Tlr12	-18.039738	1.558230343255972e-72	7.676011543132866e-72	-22.775156
Slamf9	-20.244421	8.706025500433741e-91	5.13629823034439e-90	-22.762667
Cd69	-15.173239	6.819856498445147e-52	2.6744535288020186e-51	-22.757359
Wfdc21	-12.624726	1.7389757295079023e-36	5.400545743813361e-36	-22.753155
Cyp4f18	-18.465929	6.683789452160699e-76	3.4014195685296176e-75	-22.703978
Aplnr	-19.582909	4.2960462442872917e-85	2.4067485962393793e-84	-22.653084
Cd3d	-14.019545	1.4193559313213334e-44	5.124028632929001e-44	-22.634651
Ctxn3	-20.261908	6.120761840496365e-91	3.621752568341044e-90	-22.625416
Gabrd	-19.345467	4.279045174377913e-83	2.331904727181424e-82	-22.606487
Cd79a	-12.916301	4.1525174520086894e-38	1.3373647188433782e-37	-22.559298
Slc2a5	-16.945986	3.0307953207978964e-64	1.371400597646107e-63	-22.503353
Gimap3	-14.759814	3.3238741446756293e-49	1.2710799788434528e-48	-22.487093
Ucma	-17.556334	8.295790720806464e-69	3.931654370050457e-68	-22.43385
Rbp7	-13.326016	1.8952874013266043e-40	6.381439061705739e-40	-22.422987
Saa2	-15.7891245	4.946581186929634e-56	2.0610754945540143e-55	-22.413794
Satb2	-19.291111	1.2174381829874257e-82	6.563009072708494e-82	-22.393456
Mlxipl	-16.90639	5.9168543470804014e-64	2.653297913488969e-63	-22.386385
Coch	-15.055348	4.0520233966960574e-51	1.5797362170355e-50	-22.382925
Mecomos	-17.367226	2.2361213361612262e-67	1.042480809399173e-66	-22.379967
Nxph4	-16.028868	1.0944604311117679e-57	4.627739666434537e-57	-22.337118
Gli3	-17.855564	4.207442844104479e-71	2.0424479825749898e-70	-22.335802
Dlx5	-16.117876	2.6210495581566376e-58	1.1153402375134629e-57	-22.33014
Saa1	-15.651256	4.3152451374999045e-55	1.7831591477272333e-54	-22.320486
Ifitm6	-13.6556	2.2015384486851933e-42	7.684252874991949e-42	-22.30065
Chil3	-10.919599	9.93747659702605e-28	2.678565120492197e-27	-22.285542
Lypd2	-16.029043	1.0913890359168282e-57	4.6245298132068993e-57	-22.22568
Tifab	-16.63046	5.999128750805256e-62	2.6369796706836286e-61	-22.191723
Cpne4	-16.564844	1.779717574909244e-61	7.754760674985812e-61	-22.139969
Il7r	-12.80097	1.837485163495885e-37	5.83328623332027e-37	-22.08926
Dennd1c	-16.371702	4.2637129589062105e-60	1.8338550360886925e-59	-22.088202
Trbc1	-11.487649	1.652540664039305e-30	4.668193966212727e-30	-22.08035
Slc22a6	-13.258248	4.674979113614607e-40	1.5583263712048693e-39	-22.067024
Plbd1	-14.580453	4.624358574670786e-48	1.7417546420605596e-47	-22.052698
Col6a6	-15.423393	1.4858150057760077e-53	5.8960912927619355e-53	-22.031952
Ly9	-16.55619	2.0535108396655545e-61	8.92830799854589e-61	-22.027617
Skap1	-13.677034	1.6416431609150627e-42	5.760151441807238e-42	-22.018932
Cd3e	-12.673031	9.420968537502601e-37	2.944052667969563e-36	-22.014807
Msln	-12.959733	2.3636949509880714e-38	7.649498223262367e-38	-21.99918
Adora3	-15.516012	3.5474472381354765e-54	1.4304222734417243e-53	-21.988909
Ccl8	-10.323723	5.809459584971238e-25	1.4896050217874967e-24	-21.98222
H2-Oa	-13.777382	4.1305534798114005e-43	1.4621428247120002e-42	-21.948544
Col6a5	-14.555669	6.636968612319118e-48	2.4904197419583935e-47	-21.935768
Tnfrsf18	-14.735048	4.790079994957922e-49	1.8213231919992097e-48	-21.926495
Ccr9	-13.826184	2.103794684039556e-43	7.473515751472668e-43	-21.923458
Xcl1	-10.279299	9.211376122081224e-25	2.3468474196385284e-24	-21.87585
Cyp2e1	-12.567612	3.5789078808571904e-36	1.10630846394349e-35	-21.874207
Hmcn2	-14.149518	2.2700782682867734e-45	8.284957183528369e-45	-21.834146
H2-Ob	-13.597146	4.8897847225588346e-42	1.6832305413283424e-41	-21.812178
Mcemp1	-13.250054	5.212591746471554e-40	1.73463951629669e-39	-21.80664
Wdfy4	-14.4972925	1.5506975623823514e-47	5.797000233205051e-47	-21.806053
Dnhd1	-13.892934	8.32919657944884e-44	2.974713064088871e-43	-21.801071
Sp8	-13.391353	7.902904141790257e-41	2.669900047902114e-40	-21.797764
Ms4a4c	-13.445893	3.7954813645772756e-41	1.2909800559786652e-40	-21.79444
Cd8b1	-10.378294	3.28899542021035e-25	8.487730116671871e-25	-21.793419
Tmem52	-17.171257	6.54627518853443e-66	3.0306829576548286e-65	-21.789707
Cd163	-11.699229	1.4051537166461622e-31	4.055277681518505e-31	-21.788399
Ifng	-9.8097	1.0687549181504723e-22	2.63240127623269e-22	-21.784601
Fam180a	-12.085511	1.3932572714598115e-33	4.15897692973078e-33	-21.778597
Slco1b2	-13.419397	5.422029940307812e-41	1.8410967539245545e-40	-21.763765
Sell	-12.7261715	4.7873314895004636e-37	1.5054501539309632e-36	-21.76223
Trem1	-12.436269	1.8590900775843166e-35	5.702730299338395e-35	-21.755135
Hcar2	-13.651633	2.3242898485002913e-42	8.09857090069788e-42	-21.745201
Fgr	-14.299439	2.6844451360553185e-46	9.92401159355016e-46	-21.737999
Plcb2	-13.666987	1.8838322322445096e-42	6.586825986868915e-42	-21.736097
Pde6a	-14.752655	3.694421712279627e-49	1.407398747535096e-48	-21.723614
Aox3	-13.171647	1.472285302173911e-39	4.851022412434633e-39	-21.697914
Prtn3	-13.6942625	1.2962787633229599e-42	4.5563401171281547e-42	-21.696432
CR974586.5	-14.789931	2.129631697468018e-49	8.175169663984713e-49	-21.681622
Rnase6	-13.10085	3.740234944841666e-39	1.222299001582244e-38	-21.679974
Clec4e	-11.754374	7.338232802877162e-32	2.130111118396854e-31	-21.671982
Rgs14	-15.060136	3.7701692879712544e-51	1.472722378113771e-50	-21.647505
Ccl11	-11.380379	5.669383887245586e-30	1.5814180996500937e-29	-21.638834
Il2rb	-11.413536	3.8777239833010936e-30	1.086197194201987e-29	-21.625984
Mmp8	-10.145628	3.644210983722789e-24	9.202552989198963e-24	-21.621824
Cd28	-11.500293	1.4279922961678963e-30	4.0453039551498484e-30	-21.60669
Btnl9	-11.185274	5.184118039114583e-29	1.426167273484067e-28	-21.599615
Chrnb2	-14.906116	3.7915198511283674e-50	1.4667388205525598e-49	-21.595486
Fezf2	-13.979707	2.481085974490018e-44	8.892781270573541e-44	-21.567896
Runx3	-12.732747	4.401776407552451e-37	1.3863862700952602e-36	-21.54957
Klrd1	-10.854138	2.035447148178445e-27	5.456962863749182e-27	-21.53911
Stat4	-12.906187	4.733463887726332e-38	1.52201411180911e-37	-21.53828
Gli1	-13.050881	7.200960214406938e-39	2.3494160569027533e-38	-21.52506
Sh2d2a	-11.528077	1.0353775276768416e-30	2.949793526144848e-30	-21.51436
Ly6d	-8.292471	1.1346294219787114e-16	2.4400632730724974e-16	-21.510506
Cyp2f2	-12.113058	9.97020337576719e-34	2.989566229615349e-33	-21.428207
Soat2	-12.619559	1.856541327777704e-36	5.756717295434741e-36	-21.411703
Ly6i	-12.092458	1.2806011955325785e-33	3.8284041719957505e-33	-21.410284
Cd8a	-9.603572	8.041085741099173e-22	1.937611021951608e-21	-21.40041
Cd7	-10.838299	2.4195168415820055e-27	6.469296367866326e-27	-21.388536
Cxcr6	-10.081216	7.025587194243111e-24	1.76522291312641e-23	-21.379963
Iglc2	-8.505239	1.8581988886319035e-17	4.083953601388799e-17	-21.37834
Ccr7	-8.792658	1.5029505137897163e-18	3.3774168849207108e-18	-21.334614
Fcna	-10.7968445	3.799201442878337e-27	1.0117713562924999e-26	-21.307173
Itk	-10.726734	8.117851765276267e-27	2.1447428706146016e-26	-21.286324
Ces2g	-13.19198	1.12538169788951e-39	3.7141310161369966e-39	-21.28475
Gzma	-6.4507275	1.1225976105303158e-10	2.076961351582453e-10	-21.260855
Vpreb3	-11.466977	2.097527970166735e-30	5.916863103432257e-30	-21.24803
Cfb	-13.115777	3.074001920893769e-39	1.0062199413727558e-38	-21.247902
Spata25	-10.751086	6.239447767183549e-27	1.652833845611536e-26	-21.24765
Fam124b	-11.351442	7.890671586588952e-30	2.1949016930706407e-29	-21.232431
Csf3	-10.14862	3.5344257578302004e-24	8.936601157598483e-24	-21.21704
Cmah	-11.685113	1.658599415449799e-31	4.766090274281032e-31	-21.215752
AC163040.1	-11.245687	2.62306352566244e-29	7.236037312172248e-29	-21.192947
Mgl2	-9.628116	6.337383795358467e-22	1.530769032695282e-21	-21.17441
Klrk1	-9.946755	2.729425193223497e-23	6.798070219734737e-23	-21.134613
Ptger3	-11.578838	5.74324095034702e-31	1.6432735194125953e-30	-21.13255
Nat8f2	-10.930906	8.776063831938724e-28	2.3751187637181933e-27	-21.116005
P2ry10	-10.666067	1.559844850116764e-26	4.099460841305556e-26	-21.090477
Cd300ld	-10.920752	9.812327995399652e-28	2.648401618191539e-27	-21.0343
Krt19	-11.4499	2.5534124627715805e-30	7.182594831987568e-30	-20.992987
Icos	-9.7303095	2.336624413136498e-22	5.706042522921851e-22	-20.975414
Cd226	-9.978393	1.9865115829556248e-23	4.960078858815542e-23	-20.973272
Gata3	-10.617256	2.631141779027723e-26	6.887805704261055e-26	-20.971857
Fasl	-9.727385	2.4046707870601025e-22	5.865050700146591e-22	-20.968868
