names	scores	pvals	pvals_adj	log2foldchanges
Enpp6	-42.148796	0.0	0.0	-24.917175
Tnfaip2	-30.092915	3.165847736359809e-197	3.1345027092671373e-196	-24.173843
Tnfaip8l2	-29.58173	1.0437446849688425e-190	9.893314549467702e-190	-24.061775
Fmod	-24.157715	3.2452060319232087e-128	2.15628307768984e-127	-23.678814
Rhoh	-25.463093	3.894496781426097e-142	2.863600574578012e-141	-23.669647
Fgd2	-24.096413	1.4042794089786845e-127	9.299863635620427e-127	-23.523306
Mrc1	-18.290358	1.707204822259647e-74	7.069171106665205e-74	-23.485186
Slc47a1	-21.00616	1.4888552389704908e-97	7.734312929716836e-97	-23.470062
Col23a1	-24.61138	5.676532180105628e-133	3.8615865170786586e-132	-23.464487
Actg2	-23.043009	6.817846891380775e-117	4.094802937766231e-116	-23.37578
Lilr4b	-21.23893	1.1253509352566387e-99	5.907353990848497e-99	-23.18368
Tlr7	-22.755308	4.690270014911014e-114	2.7589823617123607e-113	-23.164259
Spint1	-22.328453	6.562497706885798e-110	3.7181290123998855e-109	-23.160767
Itih2	-19.714867	3.3609791291938866e-86	1.5816372372677115e-85	-23.11319
Ptpn22	-19.485226	2.962714207826742e-84	1.3748093771817828e-83	-23.06513
Ifi207	-21.083466	2.956581169726133e-98	1.5439066160449782e-97	-23.022589
Cd3g	-14.498703	1.5341130424791579e-47	4.606946073510984e-47	-23.000124
Nkg7	-14.168565	1.7483557448778217e-45	5.1346717911242924e-45	-22.990547
Ms4a4b	-14.36165	1.1100732266665557e-46	3.308713045205829e-46	-22.97232
Csf2rb	-22.101274	9.824513727909791e-108	5.458063182172106e-107	-22.9645
Dkk2	-20.079731	2.4541834116190375e-89	1.1798958709706911e-88	-22.904676
Tlr12	-18.042301	1.5228834010459278e-72	6.140658875185192e-72	-22.84156
Slamf9	-20.248043	8.394809899508842e-91	4.095029219272606e-90	-22.82907
Wfdc21	-12.625601	1.7294752731735254e-36	4.4288739389847e-36	-22.819555
Jaml	-19.276684	1.655101731424042e-82	7.5231896882911e-82	-22.814539
Fcgr4	-19.795042	6.951387011716785e-87	3.286707806958291e-86	-22.794312
Abcc3	-20.300278	2.9284989097877106e-91	1.4390658033354844e-90	-22.73269
Piezo2	-19.523802	1.401157163754394e-84	6.517010063973926e-84	-22.730667
Pbk	-18.916216	1.5678829669674638e-79	6.922220604712865e-79	-22.726355
Cd3d	-14.020744	1.4075568490388908e-44	4.115663301283306e-44	-22.701035
Col11a1	-18.282372	1.974603473699046e-74	8.12594022098373e-74	-22.556507
Ucma	-17.558695	8.126808948952416e-69	3.1018354766993954e-68	-22.500204
Igdcc4	-18.150066	2.180485459466034e-73	8.863762030349733e-73	-22.472769
Coch	-15.056836	4.0072408204326434e-51	1.2621230930496514e-50	-22.449272
Saa3	-11.42136	3.5580929109116465e-30	8.3133011937188e-30	-22.422733
Il1r2	-14.580331	4.6788189821450407e-48	1.4221334292234166e-47	-22.411034
Saa1	-15.652927	4.259568732472135e-55	1.415139113778118e-54	-22.386826
Mmp9	-12.870969	7.507542589642953e-38	1.973072953914048e-37	-22.370024
Ccr1	-16.32064	9.96733548685695e-60	3.5034571131307383e-59	-22.36697
Cd79b	-13.508404	1.6437006289049714e-41	4.591342538840702e-41	-22.287575
Ranbp3l	-14.775426	2.666936406095316e-49	8.205958172600972e-49	-22.286173
Ccl24	-12.185113	4.160536557979989e-34	1.0388355950012455e-33	-22.172184
Il7r	-12.801883	1.8268725396978103e-37	4.736527946457768e-37	-22.155573
Trbc1	-11.488308	1.646360934169919e-30	3.910596043158952e-30	-22.146662
Slc22a6	-13.259263	4.6438996007493725e-40	1.2740465296980447e-39	-22.133335
Plbd1	-14.581803	4.5793898395226415e-48	1.3940303925487493e-47	-22.119007
Sfrp2	-13.952732	3.6484444288828825e-44	1.0559897044523539e-43	-22.11888
Ly9	-16.55817	2.0203722322186956e-61	7.241477534834033e-61	-22.093924
Cd3e	-12.673916	9.368704951312989e-37	2.4053157769738096e-36	-22.081112
Msln	-12.96068	2.3493515312925496e-38	6.27330181920574e-38	-22.065483
Col6a5	-14.557013	6.572865779016908e-48	1.9917775087930024e-47	-22.002066
Slc14a1	-15.073665	3.109892243424164e-51	9.810385625943734e-51	-21.972742
Xcl1	-10.27977	9.189358810692047e-25	1.9551827256791593e-24	-21.942144
Bank1	-13.958356	3.3727162893025066e-44	9.775989244355092e-44	-21.927187
Lyve1	-13.1006	3.776965023035659e-39	1.0139503417545395e-38	-21.892841
Ccr2	-12.516274	6.865365330450731e-36	1.7536054483909912e-35	-21.87475
Mcemp1	-13.251067	5.17802387054108e-40	1.4166959974120603e-39	-21.872927
Ms4a4c	-13.446952	3.768787713750064e-41	1.0454334850901704e-40	-21.860723
Tmem52	-17.173466	6.424161094021986e-66	2.3970750350828305e-65	-21.855991
Cd163	-11.699925	1.39949905636568e-31	3.3804325032987444e-31	-21.854683
Ifng	-9.810109	1.0666396616944255e-22	2.170172251667193e-22	-21.850885
Fam180a	-12.086279	1.3868688354395514e-33	3.4201450935623954e-33	-21.844881
Sell	-12.727068	4.7603238948033246e-37	1.2284706825298901e-36	-21.828512
Trem1	-12.437105	1.8495281787001704e-35	4.7121737036947015e-35	-21.821417
Tmem132c	-13.794474	3.2882493331111145e-43	9.38159581486766e-43	-21.760885
CR974586.5	-14.791341	2.1077083728217135e-49	6.505272755622572e-49	-21.747898
Rnase6	-13.101829	3.7165314936788565e-39	9.990676058276496e-39	-21.746248
Clec4e	-11.755079	7.308138649233516e-32	1.778135924387717e-31	-21.738256
Ccl11	-11.38102	5.6489680652115044e-30	1.3167757727765745e-29	-21.705107
Moxd1	-12.284572	1.226693835028569e-34	3.082145314142133e-34	-21.704649
Wnt6	-12.849212	9.93910581751439e-38	2.598459037258664e-37	-21.691166
Gzmb	-9.31469	1.2699048252604654e-20	2.4754480024570475e-20	-21.679922
Cd28	-11.500953	1.42262859968708e-30	3.383183352406849e-30	-21.67296
Btnl9	-11.185883	5.166704303198268e-29	1.19048486248808e-28	-21.665884
Asprv1	-10.503478	8.843957226635364e-26	1.9288892533555865e-25	-21.639036
Runx3	-12.733645	4.37689240912619e-37	1.130979950678602e-36	-21.615837
Klrd1	-10.854693	2.0293890305571723e-27	4.5810136129958744e-27	-21.605375
Stat4	-12.907123	4.705213001135411e-38	1.2464140400358705e-37	-21.604546
Sh2d2a	-11.528743	1.0314506165376717e-30	2.4646370765535767e-30	-21.580624
Ly6d	-8.292717	1.1334920905012593e-16	2.044169685304345e-16	-21.576769
Cyp2f2	-12.113831	9.924067578898704e-34	2.4503870565181983e-33	-21.494465
Mfap5	-11.748544	7.894260012927289e-32	1.9184106957295963e-31	-21.479624
Cd7	-10.838851	2.4123578414823938e-27	5.433238381717103e-27	-21.454792
Cxcr6	-10.08166	7.010062182660378e-24	1.4634785350021668e-23	-21.446218
Ccr7	-8.792952	1.5010400003266726e-18	2.8162101319449765e-18	-21.400866
Fcna	-10.79739	3.788132323286797e-27	8.493570231584746e-27	-21.373425
Cpne9	-12.777766	2.489107171343429e-37	6.44012204746036e-37	-21.369352
Itk	-10.72727	8.094812681917836e-27	1.8028536039906091e-26	-21.352571
Ces2g	-13.19298	1.118048795079288e-39	3.0423096464742533e-39	-21.350998
Mfap4	-10.603682	3.050194489770798e-26	6.718490065574445e-26	-21.318462
Cfb	-13.116759	3.054431565577059e-39	8.244079799128365e-39	-21.314148
Cd5l	-10.439055	1.7442518162180618e-25	3.775436831640826e-25	-21.307106
Csf3	-10.149073	3.526402604279564e-24	7.400635056200554e-24	-21.283283
Colec11	-10.978987	5.183090064575013e-28	1.1820045757297636e-27	-21.2756
Mgl2	-9.628502	6.325752780933553e-22	1.2727872798659062e-21	-21.240652
Klrk1	-9.947183	2.723711919867264e-23	5.633323515754424e-23	-21.200853
Ptger3	-11.579513	5.7210701571178545e-31	1.3752572493071767e-30	-21.19879
Cd209f	-7.71473	1.2342317229631265e-14	2.131661006844778e-14	-21.177494
P2ry10	-10.666594	1.5555179003849415e-26	3.449041907727143e-26	-21.156715
Cd300ld	-10.921317	9.782395007450507e-28	2.218230160419616e-27	-21.100536
Chrdl1	-10.461712	1.374287215137947e-25	2.9908318066114186e-25	-21.07264
Krt19	-11.450552	2.5439894506456515e-30	5.9718062221728906e-30	-21.059221
Cxcr3	-10.226334	1.5957290913005646e-24	3.3772044260329414e-24	-21.050713
Icos	-9.730709	2.3321491274306424e-22	4.735328177524147e-22	-21.041647
Fasl	-9.727783	2.4000707642922867e-22	4.868297696333239e-22	-21.035099
Krtdap	-8.791891	1.5152605217820658e-18	2.8402259077452033e-18	-21.02134
Camp	-6.4796195	9.278611248388944e-11	1.4566108710186725e-10	-21.019274
H2-DMb2	-8.932887	4.2845450428802976e-19	8.084047250717542e-19	-20.997633
Anxa9	-11.748111	7.934661653676501e-32	1.9258887508923548e-31	-20.975193
Acod1	-9.301794	1.4335119925631356e-20	2.791649449976895e-20	-20.947285
Slc9a7	-11.340083	9.015135254985703e-30	2.0916787134537595e-29	-20.942398
Prok2	-9.387213	6.404129829094498e-21	1.2544818470312435e-20	-20.901295
Slamf7	-10.353267	4.281921567719814e-25	9.168996933018873e-25	-20.900959
Tlr1	-10.6099	2.8542589468107016e-26	6.300792377065566e-26	-20.899548
Hhipl1	-10.694363	1.1541067513428101e-26	2.564681669650689e-26	-20.887419
Arg1	-8.164703	3.2950041996704184e-16	5.868217630757646e-16	-20.840143
Il4i1	-10.279272	9.236827547454508e-25	1.9631939527002144e-24	-20.761932
Ces2e	-9.446377	3.649662560988519e-21	7.219906154279958e-21	-20.748104
Olfm5	-7.5362163	4.9174900306294856e-14	8.370195796816145e-14	-20.741453
Ms4a1	-6.821441	9.113000639865604e-12	1.4745955727937872e-11	-20.735645
Slc43a1	-9.455421	3.3480096981921653e-21	6.642876385301915e-21	-20.719114
Tnfrsf13c	-10.3639145	3.831802512934691e-25	8.2227521736795935e-25	-20.682966
Tmem132e	-10.052573	9.416104060705417e-24	1.9637339021283457e-23	-20.675188
Cd5	-9.416393	4.855118810636123e-21	9.547922931437803e-21	-20.654701
Il17b	-9.636357	5.860892987899592e-22	1.1804416894057587e-21	-20.638468
Scimp	-9.337397	1.0254761754782878e-20	2.004841007777689e-20	-20.611906
Grap2	-8.470312	2.5113297817640696e-17	4.595296947418243e-17	-20.54598
Ankle1	-9.400881	5.625705133914446e-21	1.1041619497378697e-20	-20.522882
Lgr6	-8.958326	3.4042820725987612e-19	6.43531582721883e-19	-20.509205
Rab39	-9.191492	4.0148298930054246e-20	7.728257734370404e-20	-20.49997
Il12b	-7.2213607	5.21836618093196e-13	8.704530743839799e-13	-20.49154
Gcnt4	-9.417258	4.8153742462947505e-21	9.47908316199754e-21	-20.476248
Ighd	-6.7094164	1.9743179218713935e-11	3.153862495002226e-11	-20.471584
Neil2	-9.838237	8.072672436746986e-23	1.6491669942281893e-22	-20.439266
Cartpt	-7.8515286	4.189373814958634e-15	7.298560653238039e-15	-20.422392
Cd6	-8.178609	2.936655309776548e-16	5.244027338886692e-16	-20.39345
Areg	-7.4924946	6.866109136609743e-14	1.1647343743188707e-13	-20.392866
Fcmr	-7.2327538	4.799019653903605e-13	8.011718954763949e-13	-20.391684
