names	scores	pvals	pvals_adj	log2foldchanges
P2ry13	-24.38898	1.3077825705409286e-130	5.529736027657203e-130	-23.635962
Cbr2	-22.766935	3.733399050066056e-114	1.4640780588494338e-113	-23.445711
Tlr7	-22.758345	4.532338983238725e-114	1.7739095824809097e-113	-23.202087
Myo1f	-23.56121	4.487952303365505e-122	1.8431015619570863e-121	-23.194717
Ms4a7	-17.325075	4.7852642996972644e-67	1.369174334677329e-66	-23.021322
Nxph4	-16.031723	1.0698751042684968e-57	2.804390836876794e-57	-22.441214
Clec4n	-13.5219145	1.374874428162915e-41	3.0586750348451947e-41	-22.297638
Arhgap22	-17.27737	1.0899272501182155e-66	3.109635521022013e-66	-22.278637
Cyp4f15	-14.321383	1.989384540342013e-46	4.6699167613662285e-46	-22.125572
Ccr9	-13.828014	2.0775521369200993e-43	4.70566735429241e-43	-22.027483
Mcemp1	-13.251664	5.157738298538885e-40	1.1286079427875021e-39	-21.91065
Wdfy4	-14.499403	1.5273291934517752e-47	3.62355680534229e-47	-21.91006
Sp8	-13.393015	7.816137394997586e-41	1.7254166434873258e-40	-21.901772
Cd163	-11.7003355	1.3961739091678676e-31	2.767440850679619e-31	-21.892405
Fam180a	-12.086732	1.3831138520960636e-33	2.811207016455414e-33	-21.882603
Sell	-12.727597	4.744462582997821e-37	9.998867403578126e-37	-21.866232
Trem1	-12.437599	1.8439103642430106e-35	3.8097321575268814e-35	-21.859137
Rnase6	-13.102406	3.7026182996048576e-39	8.014325323820037e-39	-21.783964
Mmp8	-10.146347	3.631083120143291e-24	6.4725189307367036e-24	-21.72581
Klrd1	-10.8550205	2.02582371856961e-27	3.7972328370564384e-27	-21.643084
Sh2d2a	-11.529136	1.0291410307954367e-30	2.006122867047635e-30	-21.618334
Cyp2f2	-12.114286	9.896950859487294e-34	2.017726984604953e-33	-21.53217
Cd8a	-9.604181	8.017875463354241e-22	1.3932016443708498e-21	-21.50437
Cxcr6	-10.081923	7.000919984415823e-24	1.2446079972294798e-23	-21.483921
Ccr7	-8.793125	1.499914142196866e-18	2.450840101628866e-18	-21.438566
Fcna	-10.797712	3.781617627236606e-27	7.081680949881284e-27	-21.411125
Cd5l	-10.439346	1.7416337256226438e-25	3.17526659183709e-25	-21.344805
P2ry10	-10.6669035	1.5529710107028325e-26	2.894633757134823e-26	-21.194408
Inmt	-9.645977	5.34354625791896e-22	9.301211937195753e-22	-21.179226
Krt19	-11.450936	2.5384469273232882e-30	4.929023159851045e-30	-21.09691
Cxcr3	-10.226607	1.5935248308268548e-24	2.8481230220319122e-24	-21.088404
Icos	-9.730944	2.329513168920146e-22	4.0725754701401157e-22	-21.079336
Camp	-6.479688	9.276607336631595e-11	1.3223959139888231e-10	-21.056963
H2-DMb2	-8.933069	4.281119095476632e-19	7.047109622183757e-19	-21.035322
Mchr1	-11.701619	1.3752693521052408e-31	2.728709031954843e-31	-20.998774
Prok2	-9.387424	6.3978702566092306e-21	1.0871487266965557e-20	-20.93898
Slamf7	-10.353551	4.2757048894799515e-25	7.724850748834601e-25	-20.938644
Tlr1	-10.610207	2.849684925084026e-26	5.291894011298099e-26	-20.937233
Myl2	-10.620432	2.5547760038831783e-26	4.757497213935155e-26	-20.928253
Tnfrsf13c	-10.364199	3.8262162216837567e-25	6.931551126238689e-25	-20.720648
Scimp	-9.3376045	1.0244951904018048e-20	1.733494400003054e-20	-20.649586
Ly6g	-7.819407	5.410853622845469e-15	8.356530691653235e-15	-20.60166
Ankle1	-9.4010935	5.620173960766096e-21	9.558118980894722e-21	-20.56056
Cd101	-9.044067	1.5621608147956772e-19	2.594951519594148e-19	-20.539759
Il12b	-7.221456	5.216609217270151e-13	7.791798681508814e-13	-20.529217
Prokr2	-8.105471	5.372467651144496e-16	8.447276181044805e-16	-20.495123
Fcmr	-7.2328496	4.797393441242252e-13	7.176355185104341e-13	-20.42936
Cd160	-7.7205577	1.1797059838449221e-14	1.8079785193025628e-14	-20.416574
Ctla4	-7.918721	2.448895224061808e-15	3.808546227156777e-15	-20.414307
Hs3st3b1	-8.367667	6.027270941717159e-17	9.597565193817132e-17	-20.372505
Gzmk	-7.614086	2.7022664490372998e-14	4.1255976321180146e-14	-20.341581
Ms4a4a	-8.692732	3.643598002377289e-18	5.905345222653629e-18	-20.31275
Pappa2	-7.1097183	1.1783649194795122e-12	1.7470198954477572e-12	-20.292595
Nlrp1b	-7.972072	1.5932406598849487e-15	2.4836175524317205e-15	-20.290495
Qprt	-9.1643095	5.170051899787298e-20	8.645571738774747e-20	-20.270567
Ltf	-5.556461	2.767012386941761e-08	3.7392059282996775e-08	-20.259094
Il18r1	-7.3031826	2.852232496568086e-13	4.285848980568123e-13	-20.237297
Trdc	-5.5605607	2.7028301239714906e-08	3.6549426963779454e-08	-20.232796
