names	scores	pvals	pvals_adj	log2foldchanges
Blnk	-25.64285	3.9183457186215897e-144	2.638616645536424e-143	-23.510782
Mrc1	-18.288738	1.7324851137691745e-74	6.3811606400337916e-74	-23.445192
Col25a1	-19.139849	2.2258477510770993e-81	8.815238618127126e-81	-22.657885
Tac1	-14.599849	3.497653345789372e-48	9.635408666086426e-48	-22.556503
Dlx5	-16.118595	2.6060257939690294e-58	7.99394415327923e-58	-22.356607
Mmp9	-12.870406	7.534543666594178e-38	1.8696138130506644e-37	-22.330153
Ccr1	-16.31949	1.0060591582760448e-59	3.1488549554805787e-59	-22.327099
Chrna4	-17.907804	1.672316175461678e-71	5.919703275970542e-71	-22.271349
Myt1	-16.111032	2.9433778482019028e-58	9.014939810725583e-58	-22.201738
Rbp4	-13.5594225	8.193004997692759e-42	2.1170555549593692e-41	-22.171524
Ccl24	-12.184636	4.172537553716898e-34	1.0006085260711985e-33	-22.132326
Slc22a6	-13.258647	4.662725416227402e-40	1.1819329318700637e-39	-22.093481
Msln	-12.960106	2.358040764703275e-38	5.880400909484475e-38	-22.025633
H2-Oa	-13.777829	4.117922763579372e-43	1.0822398853033829e-42	-21.974995
Clec10a	-12.609531	2.1123956126751437e-36	5.17744022714496e-36	-21.959473
Sp8	-13.391764	7.881342249566594e-41	2.010546492236376e-40	-21.824211
Tmem52	-17.172125	6.497954033951604e-66	2.1516404085932465e-65	-21.816153
Hspb3	-14.444496	3.3438283330254506e-47	9.16117351513822e-47	-21.805704
Fam180a	-12.0858135	1.3907400629004412e-33	3.31918869427313e-33	-21.805042
Mmp8	-10.145806	3.6409575772599134e-24	7.507129025278172e-24	-21.648266
Grm2	-13.396141	7.431651812621795e-41	1.898250782278875e-40	-21.498829
Cyp2f2	-12.113362	9.952024453168164e-34	2.3837184318965663e-33	-21.454641
Entpd3	-14.729113	5.24933644913125e-49	1.462210710064415e-48	-21.411724
Fam84a	-14.232445	7.013070816887303e-46	1.8903155840666587e-45	-21.38094
Fcna	-10.797059	3.7948420957893316e-27	8.213943930279938e-27	-21.333607
Mfap4	-10.603369	3.055216380880439e-26	6.514320641536117e-26	-21.278646
Vpreb3	-11.467236	2.094460423722372e-30	4.7818731135213974e-30	-21.274462
Cd5l	-10.438756	1.7469477182488413e-25	3.6933355565514617e-25	-21.26729
Wnt7a	-10.819277	2.980291712884027e-27	6.4648410257788e-27	-21.230108
Slamf6	-11.905296	1.2233080855280356e-32	2.8749896252127745e-32	-21.224108
Mgl2	-9.628267	6.332804619088039e-22	1.2577566274256284e-21	-21.20084
Ptger3	-11.579103	5.734506975522893e-31	1.3228389793593755e-30	-21.158978
Cd209f	-7.71461	1.2347914245503087e-14	2.2049846866969795e-14	-21.137682
Mzb1	-10.313694	6.454033608522791e-25	1.3431911776322146e-24	-21.130299
Krt19	-11.450156	2.549700544039038e-30	5.807973904416943e-30	-21.019413
Cd226	-9.978562	1.984853225628983e-23	4.0507208686305777e-23	-20.999697
H2-DMb2	-8.932701	4.2880703724160953e-19	8.19898732775544e-19	-20.957827
Iglc3	-7.5299926	5.155096949896039e-14	9.075874911788802e-14	-20.929817
Mchr1	-11.700787	1.381923298986934e-31	3.2137751139231024e-31	-20.92128
Tnfrsf17	-10.369781	3.5985572546342423e-25	7.5679437531740115e-25	-20.90573
Slamf7	-10.352975	4.288322698387286e-25	8.980780520182798e-25	-20.861155
Tlr1	-10.609587	2.8589693855304907e-26	6.10238929675665e-26	-20.859745
Myl2	-10.61981	2.5631320954021348e-26	5.476777981628492e-26	-20.850765
Tac2	-6.7982926	1.0699170364814999e-11	1.7906561280025102e-11	-20.825792
Arg1	-8.164561	3.2968861852930023e-16	6.077209558143784e-16	-20.80034
Cdh23	-9.743755	2.0492260159846068e-22	4.0984520319692136e-22	-20.708103
Ms4a1	-6.8213587	9.115500195930026e-12	1.5320168396521052e-11	-20.695847
Tnfrsf13c	-10.363622	3.8375545870217037e-25	8.053629773392873e-25	-20.64317
Scimp	-9.337183	1.0264857732859922e-20	2.0107458830283884e-20	-20.572111
Dkkl1	-9.556988	1.2623725592657738e-21	2.4923446382344995e-21	-20.562935
Ly6g	-7.819161	5.4159678088765e-15	9.732197320532795e-15	-20.524187
Lgr6	-8.9581375	3.4071155978248495e-19	6.533299324688111e-19	-20.469412
Rab39	-9.191288	4.018538310337794e-20	7.825780545935335e-20	-20.460175
Trpc5	-9.848952	7.248991373688906e-23	1.4629649593721304e-22	-20.432816
Ighd	-6.709338	1.9748239020739542e-11	3.274998179227122e-11	-20.431793
Prokr2	-8.105196	5.378345253520624e-16	9.895759436100505e-16	-20.417654
Fcmr	-7.232655	4.800692290733525e-13	8.320090625188086e-13	-20.351892
Ctla4	-7.9184656	2.4513319190685497e-15	4.444844821520489e-15	-20.33684
Cbln4	-7.881123	3.3063997932633897e-15	5.973622029382818e-15	-20.297447
Krt83	-7.693913	1.4517635253439878e-14	2.5878137706666446e-14	-20.284943
Fcrla	-7.0345035	2.0240390377675608e-12	3.4569411405082162e-12	-20.264326
Pappa2	-7.1095343	1.1791202738579411e-12	2.0259798519895896e-12	-20.215134
Qprt	-9.163911	5.1793629752554513e-20	1.005906738575553e-19	-20.193106
Calca	-6.2735863	3.5556119025833733e-10	5.730236748724211e-10	-20.180115
Trdc	-5.5604734	2.7034594677630014e-08	4.133730073032112e-08	-20.155334
Dchs2	-8.035433	9.517036382674692e-16	1.7398603990264517e-15	-20.122087
Stfa2l1	-5.7397556	9.533254491384988e-09	1.4791705960255995e-08	-20.096006
Ripor3	-7.3877563	1.5153116752920342e-13	2.64683262059744e-13	-20.093077
Klre1	-6.7586904	1.4069115371811411e-11	2.3487671739251104e-11	-20.064102
Cd177	-7.6073127	2.8449287677691784e-14	5.0397320952509805e-14	-20.022156
Cd209g	-5.934342	2.968664748242678e-09	4.671384340271721e-09	-20.01655
Myoc	-4.8846397	1.0392173716342644e-06	1.5137907816959423e-06	-19.984257
Tmem221	-9.662972	4.517973817344238e-22	8.999947843315216e-22	-19.955843
Klrb1c	-6.33881	2.3341627710138287e-10	3.7892252776198517e-10	-19.891191
Gbgt1	-6.9964337	2.656856603496759e-12	4.518463611389046e-12	-19.89049
H19	-6.6536455	2.887135408467187e-11	4.7839857638230105e-11	-19.850746
Sbp	-9.914171	3.7853543542975976e-23	7.693809663206499e-23	-19.842567
Iglc1	-4.798554	1.6025273388057612e-06	2.3213103810364038e-06	-19.812883
Nhlh2	-6.5802493	4.740523812064635e-11	7.829106213153815e-11	-19.790852
Dpep1	-6.0362053	1.5883223088533257e-09	2.5231490212125906e-09	-19.778862
Arhgap27os3	-6.326481	2.5282489385223686e-10	4.097648198577583e-10	-19.697035
Col19a1	-7.1310444	1.00888586928031e-12	1.7364644910160243e-12	-19.633293
Trh	-5.2010784	1.988756505842851e-07	2.972730203053589e-07	-19.627016
Pla2g2d	-6.507698	7.699430052266339e-11	1.2632370881487018e-10	-19.623205
Lyzl4	-7.177056	7.21662368761179e-13	1.2463944192766477e-12	-19.584764
Crh	-5.6942854	1.2454755882436905e-08	1.9235144219979776e-08	-19.551651
AC110211.1	-6.2262764	4.812463582900658e-10	7.737079715274369e-10	-19.519604
Lmx1b	-7.6491156	2.0579459861281396e-14	3.6618255980927746e-14	-19.494303
Lhx1	-6.2740784	3.5443914121079106e-10	5.716760342109533e-10	-19.49186
Ncr1	-5.3687654	7.961227958381397e-08	1.2026024106316308e-07	-19.450449
Il17a	-3.2642653	0.0010981832540299537	0.00141609703936809	-19.408339
Gpr149	-6.0096526	1.871396226874319e-09	2.9704702013878077e-09	-19.397738
Cd163l1	-4.158825	3.203954053410735e-05	4.4070894819955095e-05	-19.389595
Gucy2e	-6.082085	1.1944403276314118e-09	1.9019750439990633e-09	-19.379427
Msx3	-6.0515795	1.4439814518514182e-09	2.297504298888494e-09	-19.366905
Il1rl1	-5.526403	3.2840770765015815e-08	4.998595245816714e-08	-19.328815
Pick1-1	-6.6070094	3.9588653883738564e-11	6.543579154336953e-11	-19.322166
Gpr165	-5.8980947	3.6996259283811792e-09	5.8124523619500075e-09	-19.308002
Mmp12	-4.7926574	1.6503500047391515e-06	2.3883502239350962e-06	-19.305855
Fam159b	-5.5841975	2.3593742782924703e-08	3.6131305946285915e-08	-19.272392
Klra9	-4.6040864	4.1524735891583006e-06	5.9278709338448255e-06	-19.255058
Cd209a	-4.7192683	2.3730179592027526e-06	3.4070609608079722e-06	-19.224264
Blk	-5.0656605	4.0835965758134196e-07	6.014133395896052e-07	-19.214382
Ceacam10	-5.7743635	7.767765576777742e-09	1.2071119777432388e-08	-19.20997
Sbpl	-5.653568	1.579623035834011e-08	2.433933799436072e-08	-19.177082
Fcer2a	-4.801476	1.579323563654976e-06	2.2921967542162205e-06	-19.15654
Ccl22	-5.3894753	7.09665356384458e-08	1.073623837192826e-07	-19.12346
Nppa	-4.681876	2.849687258876577e-06	4.0826465026885065e-06	-19.084854
Qrfp	-5.5470695	2.9189046836748805e-08	4.456343028511268e-08	-19.04823
Wif1	-5.2935	1.2047700591655468e-07	1.8076069904959442e-07	-19.00953
Reg3g	-4.6402297	3.488591325509238e-06	4.9944041882737834e-06	-18.977991
Stk32b	-5.5361176	3.107213261540783e-08	4.736605581617047e-08	-18.974401
Slc25a31	-5.954546	2.62443612456904e-09	4.139489155471672e-09	-18.970806
Klra7	-4.2492843	2.1482307391371944e-05	2.9836538043572146e-05	-18.962946
Thbs4	-5.114158	3.1624583152732524e-07	4.688596464452561e-07	-18.945923
Tcrg-C1	-4.3061748	1.664020909042699e-05	2.3208101939228718e-05	-18.939516
Sypl2	-5.1336284	2.8521821190974513e-07	4.244318629609302e-07	-18.923899
Pax5	-4.7479405	2.060384106342743e-06	2.96458144797517e-06	-18.91861
Ctse	-4.3311954	1.485760173484795e-05	2.0779862566220912e-05	-18.812168
Calr4	-5.0621476	4.1595405227802453e-07	6.116971357029772e-07	-18.806702
Stfa1	-3.1537743	0.0016126423364140328	0.0020622024762327784	-18.728462
Dao	-4.23497	2.289699080611972e-05	3.1735260992542926e-05	-18.717905
Car1	-5.0706124	3.978799809374149e-07	5.864111730838835e-07	-18.632507
Cpa3	-3.3554971	0.0007927847667740614	0.0010289224747229869	-18.631752
Itgb2l	-5.1220946	3.032234149152697e-07	4.5055485128569044e-07	-18.599342
Elane	-2.890913	0.003842813444785186	0.004791537961078785	-18.56724
Gal3st4	-4.3902116	1.1346064192162668e-05	1.5946681928549076e-05	-18.52974
Gzmc	-2.5822115	0.009819616350477615	0.012019114260070522	-18.528748
Kcnj5	-4.302738	1.6900412375568528e-05	2.3538178796056445e-05	-18.499517
Akr1cl	-3.659466	0.000252988176309804	0.0003359736737181992	-18.4794
Pmch	-2.8315377	0.004634234626049091	0.005756813200060982	-18.464624
AI463229	-4.492885	7.041396197535251e-06	9.959542005000356e-06	-18.46261
Npc1l1	-4.3196206	1.5658349488138877e-05	2.1869203195724688e-05	-18.44213
Prm1	-3.5978446	0.0003211593305963052	0.00042481392936019206	-18.438126
Tnfsf11	-3.9434865	8.040943687858628e-05	0.00010858803089613271	-18.322342
Cd209b	-3.5065904	0.0004542650393186219	0.0005965397758616178	-18.30497
Smyd1	-4.1927576	2.7603355915047217e-05	3.8152530635863466e-05	-18.29928
Ankk1	-4.3641663	1.2785110328681768e-05	1.7906316986949257e-05	-18.285967
Spocd1	-4.3963313	1.1031114068528196e-05	1.5525846683361288e-05	-18.242764
Nr1i3	-4.19904	2.6848916736354317e-05	3.713543117061455e-05	-18.227913
