names	scores	pvals	pvals_adj	log2foldchanges
Carmn	-51.369125	0.0	0.0	-25.925373
Slc6a13	-25.816986	5.217999214780733e-146	2.739107199359965e-145	-24.361902
Sele	-25.471317	3.3339971103319894e-142	1.7229959226521907e-141	-23.994612
Trac	-27.254759	2.267316404619387e-162	1.318207211988016e-161	-23.90819
Ptafr	-23.842104	6.126329931162554e-125	2.8627709958703526e-124	-23.38401
Spint1	-22.331226	6.364126116467037e-110	2.725535810050123e-109	-23.197346
Gja5	-22.101244	1.0125397249754748e-107	4.2543685923339283e-107	-23.182419
Steap4	-20.522799	3.2725509030955954e-93	1.2396026148089377e-92	-23.117046
Ptpn22	-19.487066	2.910429979520338e-84	1.0212035015860837e-83	-23.101698
Bcl2a1a	-20.7786	1.7173014195668796e-95	6.605005459872613e-95	-23.07168
Ms4a4b	-14.362386	1.1042692187906106e-46	2.8027137532756615e-46	-23.008879
Tlr12	-18.043762	1.5030852733207178e-72	4.802189371631687e-72	-22.878103
Cd69	-15.17563	6.698159253581976e-52	1.8251115132375956e-51	-22.860304
Jaml	-19.278467	1.6271139017226543e-82	5.649701047648106e-82	-22.85108
Fcgr4	-19.796972	6.820796686864874e-87	2.4668342447974226e-86	-22.83085
Pilra	-19.794235	7.198613101615718e-87	2.598777293002064e-86	-22.824688
Piezo2	-19.525654	1.3762356795762046e-84	4.8373837594945685e-84	-22.7672
Slc2a5	-16.94932	2.9469787925695036e-64	8.957382348235573e-64	-22.606237
Cemip	-14.075525	6.54629318409098e-45	1.6264082444946534e-44	-22.498795
Folr2	-16.640133	5.245163971152402e-62	1.5610607057001196e-61	-22.471857
Ccr1	-16.32172	9.880444707091015e-60	2.8805961245163306e-59	-22.403475
Cd79b	-13.509016	1.636976935113406e-41	3.892929691113927e-41	-22.324074
Dennd1c	-16.374708	4.160834224114434e-60	1.2201859894763735e-59	-22.191008
Slc22a6	-13.259841	4.626269998749215e-40	1.0809042053152372e-39	-22.169825
Plbd1	-14.582574	4.553942910149268e-48	1.1752110735869078e-47	-22.155499
Sfrp2	-13.953406	3.631452889566041e-44	8.955494178954478e-44	-22.155369
Col6a6	-15.425905	1.4575206734297497e-53	4.0096854839883077e-53	-22.134748
Skap1	-13.678783	1.6222752189877922e-42	3.904392825482051e-42	-22.121725
Cd3e	-12.674421	9.33903347333083e-37	2.0869348543756045e-36	-22.1176
Itgal	-15.087556	2.5385677095084674e-51	6.860993809482345e-51	-22.11508
Col6a5	-14.557778	6.536589365309793e-48	1.6803571633187128e-47	-22.03855
Clec10a	-12.610558	2.0988888571201415e-36	4.6538555590247037e-36	-22.0358
Ccr9	-13.8279915	2.0778756976005393e-43	5.061816559319219e-43	-22.026237
Grip1	-15.603822	9.239428536161426e-55	2.5629482763277189e-54	-21.967651
Hmcn2	-14.151456	2.2394079069071123e-45	5.619593241925e-45	-21.936914
Ccr2	-12.516761	6.84468807775511e-36	1.5076405457610376e-35	-21.911228
Cd8b1	-10.379055	3.2761741445904115e-25	6.288242120135146e-25	-21.896181
Cd163	-11.700322	1.3962849580776473e-31	2.96136788563658e-31	-21.89116
Sell	-12.727579	4.7449920572172426e-37	1.0638995643984849e-36	-21.864986
Trem1	-12.437582	1.8440979216014357e-35	4.0440743894768326e-35	-21.857891
Hcar2	-13.653373	2.2970709615618248e-42	5.5151763782996994e-42	-21.847956
Fgr	-14.301439	2.6466194395918723e-46	6.69183170566845e-46	-21.840754
Cd36	-12.968108	2.1407089325016646e-38	4.915519936858013e-38	-21.805037
Il2rb	-11.41455	3.855562832234042e-30	7.990803797376253e-30	-21.728724
Wnt6	-12.849738	9.905843025581918e-38	2.2590291962558533e-37	-21.727634
Gzmb	-9.314889	1.2687421235589688e-20	2.253538407742396e-20	-21.716389
Btnl9	-11.186229	5.156801284087249e-29	1.0470662505760913e-28	-21.70235
Fezf2	-13.981575	2.449141259832735e-44	6.047262369957369e-44	-21.67063
Runx3	-12.734158	4.362766236131213e-37	9.792965737668268e-37	-21.652302
Klrd1	-10.855009	2.0259428231516964e-27	4.00383957144604e-27	-21.64184
Naip6	-12.670471	9.819763693384333e-37	2.1894679360946116e-36	-21.6308
Ly6d	-8.292857	1.1328441341565248e-16	1.8678386383454653e-16	-21.613232
Mfap5	-11.748945	7.875825055434453e-32	1.675707458603075e-31	-21.516083
Cd7	-10.839167	2.4082853338033733e-27	4.754758803165594e-27	-21.491251
Epcam	-13.396542	7.453738927529893e-41	1.7558866731519181e-40	-21.489271
Cxcr6	-10.081913	7.001225458528112e-24	1.3123196735760284e-23	-21.482676
Fcna	-10.797702	3.781835264224733e-27	7.451892146255632e-27	-21.40988
Mfap4	-10.603977	3.0454809352454655e-26	5.930829474674714e-26	-21.354918
Vpreb3	-11.468006	2.085313523887585e-30	4.3475926664564415e-30	-21.35073
Csf3	-10.149331	3.5218360941222346e-24	6.63871082775162e-24	-21.319736
Slamf6	-11.906159	1.2170971474965245e-32	2.606203741962579e-32	-21.300375
Mgl2	-9.628722	6.319130595013108e-22	1.1499782702480633e-21	-21.277103
Klrk1	-9.947425	2.7204596757684083e-23	5.033227892263475e-23	-21.237303
Mzb1	-10.314254	6.435640154834467e-25	1.2258362199684698e-24	-21.206558
Inmt	-9.645969	5.343741270291394e-22	9.751352683013491e-22	-21.17798
Cxcr3	-10.226598	1.593598480510602e-24	3.023906035124482e-24	-21.087158
Fasl	-9.72801	2.3974518698689795e-22	4.398994256640329e-22	-21.071545
Slc22a2	-10.890629	1.37225402420734e-27	2.7308537795170948e-27	-21.068113
Krtdap	-8.792058	1.5141625197775778e-18	2.5729184703102424e-18	-21.057785
Anxa9	-11.748513	7.916135092931232e-32	1.6824941749056817e-31	-21.011637
