names	scores	pvals	pvals_adj	log2foldchanges
Daam2	-36.174236	4.073287333173513e-264	4.073287333173513e-261	-7.910761
Prr5l	-31.131159	9.411614842806264e-176	4.705807421403132e-173	-4.977278
Pstpip2	-29.211224	1.1797985650825104e-169	3.932661883608368e-167	-5.8484106
Sox10	-28.070396	1.0567381559759964e-164	2.641845389939991e-162	-27.296125
Cdh19	-28.96838	4.189654599913712e-158	8.379309199827424e-156	-5.6725273
Megf10	-26.787573	5.181051693552209e-150	8.635086155920348e-148	-6.6453066
Bcas1	-27.776033	3.629719329762909e-138	5.185313328232727e-136	-5.4027395
Il33	-25.131227	1.0106569263697714e-133	1.2633211579622144e-131	-27.110369
Lama2	-27.540373	3.966864732047744e-133	4.4076274800530496e-131	-5.1087685
Prkcq	-23.916296	9.447072366674173e-122	9.447072366674173e-120	-26.733513
Zfp536	-30.87624	1.597089924013498e-119	1.4518999309213619e-117	-4.541701
Sec14l5	-24.718164	2.3172562763477086e-119	1.9310468969564238e-117	-5.0637236
RP23-44H21.1	-24.338722	6.57170565453416e-114	5.055158195795508e-112	-5.6695733
Itgb5	-22.966286	9.626795924717765e-113	6.876282803369832e-111	-26.876951
Foxp2	44.395138	1.5919237800855257e-103	1.0612825200570171e-101	4.55364
Erbb4	41.395565	4.4225906256898076e-103	2.7641191410561298e-101	3.9801397
Rab31	-28.5613	2.752886807545443e-102	1.6193451809090838e-100	-3.9196136
Pld1	-22.950396	3.642723122757274e-102	2.0237350681984858e-100	-5.518642
Opalin	-21.3567	3.3381676462806924e-98	1.756930340147733e-96	-26.502909
Pbx3	39.09071	2.086204183248117e-94	1.0431020916240585e-92	3.8530438
Cnksr3	-20.839964	9.889487222563372e-94	4.709279629792082e-92	-26.161268
Bmpr1b	-22.64628	3.741735549469437e-93	1.7007888861224715e-91	-5.3111277
Plekhg1	-24.465475	4.012891806680174e-93	1.744735568121815e-91	-4.5830545
Bcas1os2	-20.499239	7.77639833914814e-91	3.240165974645058e-89	-26.273458
St18	-24.359947	2.2426763963451694e-90	8.970705585380676e-89	-4.07987
Myo1e	-22.682793	2.1215900175009538e-88	8.1599616057729e-87	-4.773153
Elovl7	-21.49584	1.616936989533933e-85	5.988655516792344e-84	-4.270274
Ninj2	-19.9379	2.5165527446467734e-85	8.987688373738476e-84	-5.920072
Sox6	-22.2255	4.020580763049785e-81	1.3864071596723396e-79	-3.8782725
Tcf7l2	-21.636787	7.853386986870431e-79	2.6177956622901435e-77	-4.083413
Abca8a	-19.01348	1.0458025371495115e-78	3.373556571450037e-77	-26.17594
Aspa	-21.225195	1.9265464958405367e-76	6.020457799501677e-75	-3.94476
Adarb2	29.617765	2.772593367822113e-74	8.401798084309434e-73	3.7567806
Mertk	-20.692072	5.6996276164556584e-74	1.676361063663429e-72	-4.4025364
Clic4	-20.685593	1.1528896774727379e-73	3.2939705070649653e-72	-4.5609293
Adap2	-18.34188	1.70839661018354e-73	4.745546139398722e-72	-26.400366
Galnt6	-18.17146	7.892763422618665e-72	2.13317930341045e-70	-5.8891096
Lef1	-18.007465	5.822339246494194e-71	1.5321945385511038e-69	-26.063395
Slc13a1	-17.97815	9.662598083668114e-71	2.4775892522225934e-69	-26.170633
Ugt8a	-20.529968	2.329103641114816e-70	5.82275910278704e-69	-3.952527
Ermn	-18.863333	7.919764053625831e-69	1.9316497691770317e-67	-5.0329385
Rfx4	-18.22603	1.4924246485777207e-66	3.553392020423144e-65	-4.304365
Trpm3	26.16129	3.1461927410310664e-66	7.316727304723411e-65	3.01143
Cpm	-17.891434	3.367851988265787e-66	7.654209064240425e-65	-5.1592045
Gjc3	-19.99881	8.8679335059019e-66	1.9706518902004225e-64	-4.436621
Tnni1	-17.269356	1.6014068562784489e-65	3.481319252779237e-64	-25.85485
Cldn14	-17.050127	6.025655600767629e-64	1.2820543831420487e-62	-25.857258
Pla2g4a	-17.17903	6.285384696629306e-64	1.3094551451311053e-62	-5.489287
Gatm	-20.059517	9.206925688433089e-64	1.8789644262108345e-62	-3.577664
Rorb	-20.523176	1.4111671824896416e-62	2.822334364979283e-61	-3.4140477
Mog	-19.5144	2.12712019397126e-62	4.1708239097475685e-61	-3.4305823
Nkx2-2os	-16.9967	4.688864510702533e-62	9.01704713596641e-61	-5.319274
Ehd4	-16.748848	8.22315371345482e-62	1.5515384365009095e-60	-25.554934
Plekhh1	-19.006952	1.5256732751100193e-61	2.8253208798333693e-60	-3.8984056
Arhgap31	-19.041689	2.350846275447506e-61	4.274265955359102e-60	-3.649314
Sema3d	-16.714539	3.8167225860744065e-61	6.81557604656144e-60	-5.6415114
Calcrl	-16.625456	6.016928537744361e-61	1.0556014978498878e-59	-25.601189
Neat1	-19.324287	1.2565684157945427e-58	2.1664972686112803e-57	-3.2665658
Kndc1	-19.561815	4.932324726725708e-58	8.359872418179166e-57	-3.5807424
Enpp2	-20.365189	2.2674485240200354e-57	3.779080873366726e-56	-2.7468476
Dock5	-17.449257	3.3031391238279e-57	5.414982170209672e-56	-4.3089795
St6gal1	-19.646614	6.50719105409269e-57	1.0495469442084984e-55	-3.4177778
Mobp	-19.08999	9.812539460436995e-57	1.5575459461011102e-55	-3.4548895
Galnt5	-15.930943	3.422365852827812e-56	5.347446645043456e-55	-25.55754
Fa2h	-18.031292	3.499563576123349e-55	5.383943963266691e-54	-3.485836
Cspg4	-15.708704	1.038165181945287e-54	1.57297754840195e-53	-25.472034
Cobll1	-17.680136	1.6314287937660642e-54	2.4349683489045734e-53	-3.9717808
Rtkn2	-15.847118	4.5289045243104146e-54	6.660153712221197e-53	-5.118955
Hk2	-15.584948	6.809912346419354e-54	9.869438183216456e-53	-25.758215
Ttyh2	-17.440828	1.311104858176086e-53	1.8730069402515514e-52	-3.7378395
Mafb	-15.440717	5.992361170195441e-53	8.439945310134424e-52	-25.380362
