names	scores	pvals	pvals_adj	log2foldchanges
Prr5l	-34.582066	4.412990841212814e-243	4.412990841212814e-240	-5.333964
Neat1	-33.16288	7.429652655643818e-224	3.7148263278219087e-221	-4.132403
Gab1	-31.55729	1.180761499624459e-201	3.9358716654148633e-199	-3.9354208
Mobp	-31.370275	9.268105111734813e-201	2.3170262779337032e-198	-3.6477308
Cdh19	-30.71155	6.187096765587266e-195	1.2374193531174531e-192	-4.976414
Aspa	-29.655506	1.1952961706410669e-182	1.992160284401778e-180	-4.7968316
Mog	-29.351625	6.663268395377454e-178	9.51895485053922e-176	-4.0539827
Gjc3	-28.800335	3.0657540966144553e-172	3.832192620768069e-170	-4.6831007
Mbp	-29.154284	6.899365100548199e-165	7.665961222831332e-163	-2.371057
Cdk19	-29.644829	1.2440900929258084e-163	1.2440900929258083e-161	-2.3258405
Plekhg1	-28.230593	5.2574717522086554e-163	4.779519774735142e-161	-3.4951339
Pstpip2	-27.637806	1.589159767002049e-159	1.3242998058350409e-157	-4.109793
Bcas1	-27.590616	2.789192401626214e-157	2.1455326166355494e-155	-3.9968343
Lama2	-27.605486	3.9748381158762334e-157	2.839170082768738e-155	-3.8444548
Sec14l5	-27.059916	6.944772923501057e-154	4.629848615667372e-152	-5.016995
Enpp2	-28.260757	1.0033865306099313e-151	6.271165816312071e-150	-2.2920392
Fa2h	-26.84072	3.003261282752827e-150	1.766624283972251e-148	-3.9760442
Daam2	-27.139353	1.061298858943728e-149	5.8961047719096e-148	-3.8115373
Mag	-26.975227	1.2207967991068555e-149	6.425246311088714e-148	-3.3029675
Mertk	-26.352903	5.97692839221087e-146	2.988464196105435e-144	-3.9995787
Csrp1	-26.351202	6.547771163666524e-144	3.1179862684126302e-142	-3.7171278
Gatm	-26.30932	7.974073975089828e-142	3.6245790795862854e-140	-3.2057583
Creb5	-25.39884	8.657683151640519e-135	3.76421006593066e-133	-3.897024
Ttyh2	-24.718443	5.341850796625286e-129	2.2257711652605357e-127	-3.9788046
St18	-25.187351	7.460573182131651e-129	2.9362062472126606e-127	-2.9299278
