names	scores	pvals	pvals_adj	log2foldchanges
Gata2	8.53109	4.265730631662907e-14	1.4608666546790778e-13	10.738419
Unc45b	5.8739195	3.661417440579117e-08	8.594876621077741e-08	10.494738
Flt1	61.73488	3.826910422589538e-95	2.9437772481457985e-93	10.205084
Slco1a4	38.79664	3.067152308751045e-71	1.2779801286462687e-69	10.1837015
Sox17	11.944688	2.3327568612903516e-22	1.3068665889581801e-21	9.793205
Foxq1	11.70567	8.886284817229142e-22	4.855893342748165e-21	9.457821
Adgrl4	30.570896	1.3110309711459348e-59	3.800089771437492e-58	9.44324
Mecom	20.909182	1.7683830867783357e-42	2.4560122779528524e-41	9.407962
She	6.912656	2.2218468878137339e-10	6.078699996908446e-10	9.387802
Robo4	7.8937807	1.3263444920245761e-12	4.112696099301011e-12	9.314875
Cldn5	29.724457	2.7950689897459216e-58	7.873433773932175e-57	9.225374
Rgs5	25.99891	4.666896477167953e-52	9.825045215090427e-51	9.147632
Adgrf5	23.862911	3.416816746612974e-48	6.156426570473827e-47	8.961025
Wfdc1	10.39096	1.4160307137412958e-18	6.2934698388502036e-18	8.957682
Myct1	4.8520656	3.5938448286729145e-06	7.123577460203994e-06	8.939569
Tie1	9.968053	1.5110664789183472e-17	6.322453886687645e-17	8.918239
Ly6c1	24.38793	3.653109149925851e-49	7.02520990370356e-48	8.897814
Ptprb	27.668974	6.451970017565478e-55	1.593079016682834e-53	8.869838
Sigirr	4.9238224	2.648054886678934e-06	5.35079770728164e-06	8.796973
Cxcl12	17.363035	5.305596208702531e-35	5.644251285853756e-34	8.676521
AU021092	7.0132656	1.3292279742459548e-10	3.676979181869861e-10	8.675058
Abcb1a	29.294373	1.3337326077269288e-57	3.5566202872718102e-56	8.5844555
Klf2	17.531843	2.256286036202838e-35	2.4524848219596067e-34	8.54658
Ly6a	19.72329	4.664621316977347e-40	6.018866215454641e-39	8.476712
Gimap6	8.2091675	2.4416904303976993e-13	8.005542394746555e-13	8.452496
Sox18	10.927815	6.96412997136415e-20	3.3401102980163787e-19	8.373123
Zfp366	8.2974205	1.515211862386564e-13	5.008964834335749e-13	8.180614
Tinagl1	10.046713	9.721197802792217e-18	4.1366799160817945e-17	8.172578
Eng	21.422457	1.6309761269928894e-43	2.3809870467049478e-42	8.125511
Ramp2	21.051075	9.006839867485182e-43	1.2775659386503806e-41	7.970046
Itm2a	20.927921	1.593606471180756e-42	2.228820239413645e-41	7.9614296
Fmo2	6.3923244	3.0052284331199183e-09	7.503691468464215e-09	7.8655524
Vwf	11.544548	2.1844348933068077e-21	1.1650319430969641e-20	7.8601565
Icam2	7.664491	4.479006218361902e-12	1.3470695393569631e-11	7.849038
Cyyr1	12.612318	5.616269266048524e-24	3.383294738583448e-23	7.848214
Pecam1	18.82333	3.6089203920341897e-38	4.322060349741544e-37	7.83646
Kdr	11.326941	7.4060287826547e-21	3.7689713906639694e-20	7.787651
Nostrin	16.58923	2.786507115165884e-33	2.731869720750867e-32	7.7872195
Ctla2a	18.7932	4.157150260920325e-38	4.94898840585753e-37	7.764026
Cd93	10.545955	5.928384529300568e-19	2.6825269363350986e-18	7.7523007
Galnt15	7.2499576	3.925929387537191e-11	1.1265220624210018e-10	7.7356024
Cdh5	11.634037	1.3217542944002335e-21	7.16397991544842e-21	7.6389127
Clec14a	7.951629	9.731025115857352e-13	3.0409453487054224e-12	7.635481
Tmem252	7.4011254	1.7873328676600396e-11	5.203298013566345e-11	7.6271996
Grrp1	8.71927	1.5240952123964318e-14	5.3477024996366035e-14	7.6196337
Ptrf	12.569112	7.124404111194486e-24	4.266110246224243e-23	7.6171145
Emcn	14.91696	1.8712743489702354e-29	1.4970194791761883e-28	7.600731
Erg	12.695469	3.5355873417681174e-24	2.1624387411425795e-23	7.581239
Slc38a5	4.8032193	4.41686634827346e-06	8.66902129199894e-06	7.5584397
Slc2a1	35.029808	2.6677451329298326e-66	9.527661189035117e-65	7.4925494
Paqr5	15.765818	2.0518825741173664e-31	1.840253429701674e-30	7.483392
Edn1	6.703923	6.382171072425622e-10	1.688405045615244e-09	7.4693265
Esam	14.923112	1.8117377899124415e-29	1.4552110762348927e-28	7.448775
Id1	17.292757	7.461271774544614e-35	7.85397028899433e-34	7.4321556
Slc19a3	7.1324873	7.203838091284872e-11	2.017881818287079e-10	7.3772426
Rasip1	13.026524	5.623421716088416e-25	3.616348370474866e-24	7.317424
Hspb1	12.679177	3.856660232178747e-24	2.3516220927919185e-23	7.257849
Pglyrp1	16.531244	3.745625494379306e-33	3.61896183031817e-32	7.2066016
Igfbp7	26.563055	4.3314078580292585e-53	9.844108768248315e-52	7.1569705
Fas	8.323695	1.3129366454206395e-13	4.354682074363647e-13	7.1454144
Bmx	3.6509678	0.0003836265521531795	0.0006367245678890946	7.13341
Ahnak	19.949425	1.527725668309494e-40	1.9970270173980314e-39	7.1263857
Apold1	7.931284	1.084206648608926e-12	3.377590805635283e-12	7.0784693
Podxl	17.422134	3.8738347886654504e-35	4.1654137512531725e-34	7.059102
Rassf9	8.58908	3.101376630320666e-14	1.075000565102484e-13	7.048456
Klf4	8.077391	4.957046245908381e-13	1.5786771483784651e-12	7.044336
Iigp1	5.382543	3.532099873462228e-07	7.712008457341109e-07	7.002603
Hmcn1	15.158735	5.0779748743745045e-30	4.2140870326759375e-29	6.986814
Pltp	22.255592	3.5812596470015596e-45	5.823186417888715e-44	6.9488697
Fcgrt	11.262604	1.0584363646557236e-20	5.3187757017875554e-20	6.921517
